stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.05,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637.48,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,0,15.77,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,115.66,5.26,0,0,21.03,107.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,6.29,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,239.17,22.03,0,0,34.62,47.2,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,161,0,0,1,0,1,0,0,2,0,0,0,67,0,0,0,0,4,9,0,0,15,119,3,6,0,653,0,1,0,0,4,0,0,0,0,0
 24-34,0,0,0.82,0.82,579.52,0,0,11.49,0,41.86,1.64,2.46,1.64,0.82,0,1.64,125.59,0,9.03,1.64,0,8.21,47.61,0.82,5.75,99.32,124.77,11.49,11.49,0,1571.12,0,9.85,0.82,2.46,13.95,0,0,4.1,0,0
 36-46,0,0,0,0,505.96,0,0,15.31,0,87.82,0,6.45,3.22,1.61,0.81,0,61.23,0,4.83,2.42,0,8.86,44.31,0,3.22,113.6,114.41,18.53,8.06,0,1636.31,0.81,11.28,0,0,16.11,0,0,2.42,0,0.81
 48-58,0.57,0,0,1.15,387.89,0,0,32.13,0,122.22,1.15,8.61,1.15,1.15,0,0.57,30.99,0,9.18,1.72,1.15,12.05,36.15,0,1.72,80.91,72.87,8.61,13.2,0,1231.96,0,3.44,0,0,14.92,0,0,2.3,0,1.15
 60-70,0,0,0.98,0,431.87,0.98,0,18.65,0.98,84.41,0.98,7.85,13.74,2.94,0,1.96,29.45,0,7.85,0.98,0,5.89,33.37,1.96,0.98,49.08,49.08,8.83,11.78,0,1058.08,0,6.87,0,0,3.93,5.89,0,0,0.98,0.98
 72-82,0,0,6.87,0,546.79,5.89,0,29.45,0,106.02,1.96,9.82,53.01,1.96,0,1.96,80.5,0,14.72,2.94,0.98,20.61,66.75,3.93,1.96,75.59,45.16,15.71,19.63,0,1311.5,0,3.93,0,0,3.93,20.61,1.96,0.98,0.98,0.98
 84-94,0,0,9.56,0,950.52,4.25,0,15.93,0,237.9,1.06,7.43,103.02,2.12,0,2.12,142.31,2.12,12.74,5.31,1.06,14.87,65.85,1.06,3.19,33.99,72.22,26.55,25.49,0,3483.48,0,27.61,0,0,2.12,98.77,0,2.12,2.12,0
 96-106,0,0,15.3,1.09,1219.62,4.37,3.28,50.27,0,277.58,4.37,14.21,204.36,0,1.09,5.46,181.41,1.09,29.51,10.93,0,28.41,109.28,0,4.37,111.47,63.39,42.62,22.95,0,3494.92,0,13.11,1.09,0,4.37,149.72,3.28,3.28,2.19,0
108-118,0.77,0,5.36,0.77,1428.52,3.06,6.13,28.34,0.77,437.36,0,7.66,238.98,0,0,9.19,198.38,1.53,16.85,8.43,0,22.21,105.7,0,0.77,79.66,84.26,29.11,30.64,0,3429.98,0,16.85,0,0,4.6,166.98,1.53,1.53,2.3,1.53
120,0,0,1.96,1.96,774.12,1.96,1.96,5.88,0,211.66,1.96,3.92,154.82,0,1.96,1.96,88.19,1.96,11.76,9.8,1.96,21.56,54.87,1.96,3.92,48.99,109.75,5.88,23.52,0,1638.38,0,17.64,0,0,1.96,60.75,0,3.92,1.96,0
