stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,1.64,0,0,55,0,0,0.82,0.82,0,0,0,0,0,0,0,2.46,0,0,0,89.47,0,0.82,0,0,0,0,0,27.09,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,16.92,0,0,1.61,0,0.81,0,0,0,0,0,0,3.22,0,0.81,0,200.61,0.81,0.81,0,0,0,0,0,49.95,0,0,0.81,0,0
 48-58,0,0,1.15,0.57,0,57.38,0,0,3.44,0,0.57,0,0,0,0.57,0,0.57,8.03,0,1.72,1.72,360.92,0,0,1.15,0,0,0,0,72.3,0,0,1.72,0,0.57
 60-70,0,0,0.98,0,0,253.23,0,0,8.83,0,0,0,0,0,0,0.98,0,21.59,0,6.87,4.91,595.78,0,1.96,0,0,1.96,0.98,0,71.65,0,0.98,0.98,0,0
 72-82,0,0,3.93,0.98,0,299.41,0,0,17.67,1.96,0,0,0,0,0,0,0,21.6,1.96,18.65,1.96,598.81,0,0,0,0,3.93,1.96,0,50.06,0.98,2.94,0,2.94,0
 84-94,0,0,3.19,1.06,0,164.62,1.06,1.06,19.12,1.06,0,1.06,0,2.12,1.06,3.19,0,14.87,0,8.5,2.12,296.31,0,1.06,0,0,4.25,2.12,0,35.05,0,3.19,0,5.31,0
 96-106,0,0,2.19,1.09,0,150.81,1.09,1.09,22.95,1.09,1.09,0,2.19,0,7.65,9.84,0,26.23,0,8.74,1.09,225.13,0,0,2.19,0,12.02,4.37,0,26.23,0,3.28,2.19,13.11,0
108-118,0,0,9.96,0,0.77,115.66,0,0.77,8.43,0,0,0.77,0.77,0,1.53,6.13,0,14.55,0,6.13,0.77,265.79,0,0,0.77,0,0.77,1.53,0,17.62,0,0.77,0.77,0,0
120,0,0,1.96,3.92,0,111.71,1.96,0,9.8,0,0,0,0,0,0,3.92,0,25.48,0,9.8,1.96,323.36,0,0,1.96,0,5.88,1.96,0,19.6,0,0,0,5.88,0
