stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,6.29,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,7,1,0,1,0,0,0,2,1,2,0,0,0,0,0,0,7,0,0,3,37,5,0,0,2,0,3,2,0,3,11,16,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,9.85,0,0,0,0.82,0.82,0,0.82,0.82,0,0.82,0.82,0.82,6.57,0.82,0,9.03,98.5,4.1,2.46,0.82,0,0,9.03,0,1.64,0.82,3.28,18.88,0,0,0.82,0
 36-46,0,0,0,0,2.42,0,0,19.34,0,0,0,4.83,0,0,0,0,0,0.81,0,0.81,8.06,0,0,1.61,95.87,0,1.61,1.61,0,0,5.64,0,0,0,0,22.56,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,34.43,1.15,0.57,0.57,14.35,0.57,0,0,0,0,0,0,0,16.64,2.3,0,5.16,105.58,1.72,1.15,0.57,0,0,7.46,0,0,0.57,0,23.53,0,0.57,2.87,0
 60-70,0,0,0,0,1.96,0,0,51.04,0,0,0,13.74,0,0,0,0,0,0.98,0,0.98,21.59,0,1.96,2.94,107.97,0.98,0,0.98,0,0.98,7.85,0,0.98,1.96,0,15.7,0,0,0.98,0.98
 72-82,0,0,0,0,1.96,0,0,45.16,0,0,0.98,11.78,0,0,0,0.98,0,0.98,0,0,34.36,0,0,1.96,85.4,0,0,2.94,0,0,10.8,0,0,0,0,3.93,0,0.98,0.98,1.96
 84-94,0,0,1.06,0,3.19,1.06,1.06,25.49,0,1.06,2.12,9.56,2.12,0,3.19,0,1.06,0,0,0,20.18,1.06,0,0,33.99,0,0,2.12,0,0,9.56,0,0,0,0,2.12,0,1.06,4.25,0
 96-106,0,0,0,0,5.46,2.19,2.19,16.39,0,0,3.28,1.09,1.09,0,7.65,1.09,0,0,0,0,12.02,0,1.09,1.09,33.88,0,4.37,2.19,0,1.09,15.3,0,0,1.09,0,2.19,0,0,0,0
108-118,0,0,0,0,3.83,0,2.3,17.62,0,1.53,0,3.83,0.77,0,1.53,0,0.77,0.77,1.53,0,11.49,0.77,0,1.53,28.34,0,3.83,0.77,0,0,7.66,0,0,0,0,3.06,1.53,0,2.3,0
120,0,0,0,0,1.96,0,3.92,7.84,0,0,1.96,11.76,0,0,1.96,0,0,0,0,0,1.96,0,0,0,19.6,0,0,1.96,0,0,3.92,0,0,0,0,1.96,0,0,0,0
