stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,7.89,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,44.69,7.89,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,25.18,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,14,1,1,0,3,0,1,0,0,0,0,0,4,0,5,46,2,0,3,1,1,7,0,0,5,16,0,0,0
 24-34,0,0,0,0,0,0,1.64,0.82,0,0,0,0,0,0,1.64,0,3.28,0,2.46,23.8,0,0,0,0,3.28,0,0,0,0,4.93,0,0,0
 36-46,0,0,0.81,0,0,0,1.61,0,0.81,0,0,0,0.81,0,0,0,4.03,0,0,16.92,0,0,0,0,0,0,0,0,0,10.47,0,0.81,0
 48-58,0,0,0,0,0.57,0,8.03,0,0,0,0,0,0,0,0,0.57,2.3,0,0.57,13.77,0.57,0,0,0,1.15,0,0,0,0,3.44,0,0.57,0
 60-70,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,1.96,0,0,11.78,0.98,0,0,0,0.98,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,0,5.89,0,0.98,0,0,0,0,0,0,0,0.98,0.98,0,9.82,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,0,2.12,0,6.37,2.12,0,0,0,1.06,0,0,1.06,0,0,0,0,5.31,0,0,0,0,4.25,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,0,1.09,2.19,1.09,0,2.19,0,0,1.09,1.09,0,0,0,0,0,0,6.56,0,0,0,0,1.09,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0,1.53,0,3.83,0.77,0,2.3,0,0.77,0,0,0,0,0,0.77,0,2.3,0,0.77,0,0,2.3,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
