stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,62,0,0,0,0,3,0,0,8,0,0,1,4,0,1,0,0,1,0,0,1,0,0,36,0
 24-34,0,0,0.82,9.03,1.64,0,0,0,7.39,0,0,1.64,0.82,0,0,13.13,0,0,0,0.82,0,0,0,0.82,0.82,0,180.59,0
 36-46,0,0,1.61,0.81,1.61,0,0.81,0,9.67,0,0,0,0,0,1.61,16.92,0.81,0,0,1.61,0,0,0,0,0.81,0,182.08,0
 48-58,0,0,0,0.57,3.44,0,1.15,0,10.9,0,0,1.15,0,0,0.57,8.61,0,0,0.57,0.57,0,0,0,0,1.72,0,119.93,0
 60-70,0,0,0,0.98,3.93,0,0.98,0,4.91,0,0,3.93,0,0.98,0.98,13.74,0,0,0,0,0,0,0,0,0.98,0,100.12,0
 72-82,0,0,0,1.96,0.98,0,2.94,0,7.85,0,0,9.82,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,118.78,0
 84-94,0,0,0,0,8.5,0,0,0,8.5,0,0,6.37,0,0,0,2.12,0,0,0,0,0,0,1.06,0,0,0,138.06,1.06
 96-106,0,0,1.09,6.56,7.65,0,1.09,0,16.39,1.09,1.09,10.93,0,1.09,0,4.37,0,0,0,0,0,2.19,0,0,0,1.09,150.81,2.19
108-118,0.77,0,0,0.77,4.6,0.77,0.77,0,4.6,0.77,0,8.43,0,0,0,6.13,0,0,0,0.77,0,1.53,0,0,0,0,130.98,0.77
120,0,0,0,5.88,1.96,0,0,1.96,3.92,0,0,3.92,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,103.87,0
