stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,9.44,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,5,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,25,0,7,29,288,0,0,0,0,1,1,6,1,0,19,4,0,0,0,0,1
 24-34,0,0,0,0,4.1,0,0,12.31,0.82,1.64,0.82,0,0,0,4.1,0,4.1,2.46,0.82,0,0,57.46,0,20.52,73.06,19.7,4.93,1.64,0,0,0.82,0,0.82,4.93,0.82,8.21,13.95,0,0,0,0,0
 36-46,0,0,0,0,3.22,0,0,7.25,4.83,0,1.61,0.81,1.61,0,4.03,0,2.42,15.31,0,0,0,70.9,2.42,25.78,117.63,8.86,5.64,2.42,0,0,0.81,0,0,3.22,4.83,0,24.17,0,0,0.81,0,0
 48-58,0,0,1.15,0,3.44,0,0,102.71,6.89,0.57,3.44,4.59,0,0.57,2.3,0,0.57,24.1,5.74,0,0,57.38,4.59,25.25,272.56,2.87,4.59,4.02,0,0.57,0.57,0,0,1.72,3.44,0,29.84,0,0,2.87,0,0.57
 60-70,0,0,0,0,9.82,0.98,0,604.62,3.93,0,8.83,4.91,0,0,3.93,0,3.93,52.02,11.78,0,0,133.49,6.87,11.78,581.06,2.94,3.93,4.91,0,0.98,2.94,0,0,4.91,7.85,0,43.19,0,0.98,0.98,0,0.98
 72-82,0,0,0,0,7.85,0.98,0,923.74,4.91,0,12.76,31.41,0.98,0,2.94,0,6.87,48.1,9.82,3.93,0,192.41,20.61,23.56,651.82,0,7.85,15.71,0,0,3.93,0,0,1.96,1.96,0,38.28,0.98,4.91,2.94,2.94,2.94
 84-94,0,0,0,0,11.68,0,0,557.57,12.74,1.06,8.5,31.86,2.12,0,4.25,1.06,7.43,53.1,12.74,0,0,132.75,12.74,15.93,343.04,0,4.25,16.99,0,1.06,5.31,0,0,7.43,4.25,0,19.12,0,1.06,0,6.37,2.12
 96-106,0,0,0,0,14.21,1.09,1.09,432.77,7.65,1.09,8.74,26.23,1.09,0,1.09,1.09,15.3,72.13,15.3,2.19,0,143.16,14.21,12.02,265.56,1.09,8.74,14.21,0,0,5.46,0,0,6.56,2.19,0,21.86,2.19,0,3.28,6.56,0
108-118,0,0,0,0,6.89,1.53,3.83,277.28,6.89,0.77,6.13,22.21,1.53,0,3.06,0.77,8.43,87.32,20.68,1.53,1.53,119.49,16.09,13.02,280.34,2.3,6.89,11.49,0,0.77,0.77,0,0,7.66,3.06,0,7.66,2.3,1.53,2.3,3.83,3.06
120,0,0,3.92,0,3.92,0,3.92,190.1,13.72,0,9.8,19.6,5.88,0,3.92,3.92,7.84,54.87,25.48,0,0,92.11,13.72,25.48,337.08,1.96,11.76,9.8,0,0,1.96,0,0,3.92,0,0,3.92,0,0,5.88,5.88,0
