stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,333,4,0,0,0,1,0,1,8,0,0,0,0
 24-34,0,1.64,0,0,241.33,0,0,0,1.64,0,0.82,0,0.82,1.64,0,1.64,0,4.1,0,2.46,119.84,0,0.82,0.82,1.64,0.82,0.82,0,18.06,0,0,0.82,0
 36-46,0,0,0,0,176.44,0,0,0,0,0,0,0.81,0,3.22,0,0,0,6.45,0,1.61,48.34,0,0,0.81,0,0,0,0,10.47,0,0,0.81,0
 48-58,0,1.15,0,0,92.38,0,0,0.57,0.57,0,0,0,0,1.15,0,0,0.57,3.44,1.15,1.72,23.53,0,0,0,0.57,0,0,0,5.16,0,0,0,0
 60-70,0,0.98,0,0,82.45,0,0,0,0,0,0,0,0,0.98,0,0,0,2.94,0,0,35.33,0,0,0,1.96,0,0,0,2.94,0,0,1.96,2.94
 72-82,0,0,1.96,0,67.73,0,0,0,5.89,0,0,0,0,0,0,0,0,0.98,0.98,0,34.36,0,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,74.34,0,0,0,2.12,0,0,0,0,0,0,0,0,0,1.06,0,15.93,0,0,0,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,39.34,0,1.09,0,2.19,0,0,0,0,1.09,1.09,0,0,0,0,0,13.11,0,1.09,0,2.19,0,0,0,0,0,0,1.09,2.19
108-118,0,1.53,2.3,0,47.49,0.77,0,0,1.53,0.77,0,0,0,0,0,0.77,0.77,3.06,0,0,9.96,0,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,33.32,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,21.56,0,0,0,0,0,0,0,0,0,0,0,0
