stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,65.72,2.63,0,0,15.77,0,0,0,0,0,0,0
 10-12,3.15,12.59,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,66.09,6.29,0,0,31.47,0,0,0,0,0,0,0
 14-21,0,0,8,0,2,0,1,1,0,0,0,0,0,1,0,3,28,1,0,2,0,0,0,9,4,11,0,0
 24-34,0,0,0.82,0,3.28,0,1.64,0.82,0,0,0.82,0,4.93,4.1,0,5.75,13.95,0,0,0,0,0,0,0.82,1.64,8.21,0,0.82
 36-46,0,0,0.81,0,0,0.81,0.81,0,0,0.81,0,0,0.81,3.22,0,1.61,3.22,0,0,0,0,0,0.81,0,0,0,0,0.81
 48-58,0,0,0,0,2.87,0,0.57,0,0,0,0,0.57,0.57,2.3,0,1.15,5.16,0,0,0,0,0,0,0,0,5.16,0,0.57
 60-70,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,7.85,0,0,3.93,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,1.96,1.96,0.98,4.91,0,0,0,0,0,0,12.76,0.98,1.96,7.85,0.98,0,0.98,0,0,0.98,0,0,1.96,0.98,0
 84-94,0,0,0,3.19,4.25,0,4.25,0,1.06,0,0,0,0,5.31,0,1.06,5.31,0,1.06,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,2.19,2.19,0,1.09,5.46,0,0,0,0,0,0,8.74,1.09,1.09,5.46,0,1.09,1.09,0,0,0,0,0,1.09,0,0
108-118,0,0,2.3,0.77,2.3,0.77,6.89,0,0,0,0,0,1.53,9.96,0.77,1.53,6.13,0,0,1.53,0,0,0,0,0,1.53,0,3.06
120,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0,7.84,0,1.96,7.84,0,0,0,0,1.96,0,0,0,0,0,0
