stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,250.38,7919.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0,0,0,0,0,0,0
  5-6,190.02,2623.48,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,134.85,12.26,0,0,49.04,0,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,42.06,65.72,0,147.21,0,0,0,197.15,0,0,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0,1582.49,44.69,0,0,609.86,0,7.89,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,129.03,0,0,0,132.17,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,1384.67,15.73,0,0,390.22,0,6.29,9.44,3.15,59.79,0,6.29,6.29,0,0,0,0,0
 14-21,0,0,0,12,180,24,0,61,0,0,27,5,1,3,0,5,0,0,0,0,73,0,0,58,1215,24,8,6,26,0,11,0,89,3,2,57,336,0,0,4,0,0
 24-34,0,0,0,4.93,70.59,4.93,0,265.14,2.46,0.82,53.36,4.1,0,1.64,1.64,0.82,0.82,7.39,3.28,0,214.24,0.82,1.64,92.76,2716.21,11.49,22.98,21.34,0,0,33.66,0,0.82,4.93,0.82,8.21,682.13,0,0,38.58,0,1.64
 36-46,0,0,0,1.61,33.03,0.81,0,618.75,0.81,0,63.65,0.81,0,3.22,1.61,0,0,0,2.42,0.81,174.02,0.81,4.83,62.04,2051.23,3.22,12.89,10.47,0,0,13.7,0,0,1.61,0,0,599.42,0,0,16.92,0,1.61
 48-58,0,0,0,0,51.07,1.15,0,772.92,5.16,2.3,85.5,5.74,0,4.02,1.72,0,1.72,1.72,1.72,0.57,185.34,0.57,10.9,42.46,990.96,0.57,7.46,9.18,0,0,5.16,0,0,0.57,0,0,253.62,0,0,13.77,0,2.87
 60-70,0,0,0,0,43.19,0.98,0.98,487.82,3.93,0.98,90.3,4.91,0,0.98,1.96,0.98,0,4.91,1.96,0,128.58,0.98,8.83,16.69,419.11,1.96,2.94,3.93,0,0.98,6.87,0,0,0,0,0,37.3,0,0,6.87,0.98,0
 72-82,0,0,0,0,36.32,1.96,0,205.17,0,1.96,106.02,12.76,0,2.94,0,2.94,2.94,0,0.98,0,131.54,0.98,14.72,15.71,389.72,0,3.93,8.83,0,0,1.96,0,0,0.98,0.98,0,14.72,1.96,0,8.83,0,0
 84-94,0,0,0,2.12,52.04,5.31,0,195.41,0,1.06,65.85,14.87,0,0,2.12,2.12,4.25,3.19,2.12,0,114.7,0,13.81,25.49,272.94,1.06,11.68,11.68,0,0,5.31,0,0,1.06,0,0,8.5,4.25,1.06,15.93,1.06,0
 96-106,0,0,1.09,0,36.06,0,0,138.79,0,0,59.01,8.74,0,5.46,3.28,0,2.19,2.19,2.19,0,69.94,1.09,5.46,6.56,221.85,2.19,4.37,12.02,0,1.09,4.37,0,0,4.37,0,0,3.28,1.09,0,4.37,3.28,0
108-118,0,0,0,0,30.64,2.3,0.77,147.06,0,0.77,64.34,6.13,0,0,2.3,1.53,0.77,0,3.06,0,40.6,0,5.36,11.49,293.36,0,10.72,6.89,0,0,5.36,0,0,3.83,0,0,3.06,0,0,9.19,0,0
120,0,0,0,0,17.64,7.84,0,141.1,0,0,68.59,1.96,0,0,5.88,1.96,1.96,0,1.96,0,45.08,0,1.96,19.6,280.25,0,0,3.92,0,0,3.92,0,0,0,0,0,9.8,0,0,5.88,0,0
