stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,15.73,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,4,2,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,40.22,0.82,0.82,0,0,0,0.82,0,0,3.28,0,0,0
 36-46,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,111.18,0,0,0.81,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,1.72,0,0,4.02,0,2.3,0,0,0.57,0,0,1.15,0.57,0,0,136.57,1.15,0,0,0,0,2.87,0.57,0,7.46,0,0,0
 60-70,0,0,0,0,0,0,0,7.85,0,2.94,0,0,0,0,0,0.98,0,0,0,183.54,0.98,0,0,0,0,3.93,0,0,11.78,0,0,0
 72-82,0,0,0.98,0,2.94,0,0.98,28.47,0,1.96,0.98,0,0,0,0,2.94,0,0,0,223.82,0,0,0,0,0,4.91,0.98,0,5.89,0,0,0
 84-94,0,0,0,0,10.62,1.06,0,20.18,0,7.43,0,0,0,0,0,2.12,0,0,1.06,126.38,0,0,0,0,0,4.25,1.06,0,9.56,1.06,0,0
 96-106,0,0,0,0,4.37,0,0,15.3,0,1.09,0,0,0,1.09,0,0,0,2.19,1.09,93.98,0,0,0,0,1.09,4.37,0,0,3.28,0,0,1.09
108-118,0,0,0,0,6.13,0.77,0.77,9.19,0.77,4.6,0.77,0,0,0,0,2.3,0,0,0,129.45,0,0,0,0,0.77,3.83,0.77,0,1.53,0,0.77,0.77
120,0,0,0,0,5.88,0,0,5.88,0,1.96,1.96,0,0,1.96,1.96,1.96,0,0,0,103.87,1.96,1.96,0,0,0,1.96,0,0,0,0,1.96,0
