stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0,0.82,4.1,0,0,0,0,64.03,0,0,0.82,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,1.61,0,0,0,11.28,0,0,0,0,36.26,0,0,1.61,0,0,0
 48-58,0,0,0,3.44,0,0,0.57,0,0,1.15,0.57,0,12.05,0,0,0.57,0,22.95,0,0,0.57,0,0,0.57
 60-70,0,0,0,0,0.98,0,3.93,0,0,0.98,0,0,26.5,0,0,0,0,27.48,0,0,1.96,0,0,0
 72-82,0,0,0,3.93,0.98,2.94,20.61,0,0.98,0,0,0,50.06,0,0.98,0,0,55.95,0,0,5.89,0,0,0.98
 84-94,2.12,0,0,4.25,0,4.25,28.68,0,2.12,4.25,0,0,26.55,0,0,0,1.06,103.02,1.06,0,0,0,1.06,0
 96-106,0,3.28,0,6.56,0,0,72.13,0,0,2.19,1.09,0,30.6,0,0,0,0,83.06,0,0,0,0,1.09,1.09
108-118,0.77,1.53,0,2.3,0,6.89,83.49,0.77,0,3.83,0,0.77,35.23,0,0.77,0,0,104.17,0.77,0,1.53,0.77,0,0
120,0,3.92,0,3.92,0,0,64.67,0,0,1.96,0,0,29.4,1.96,0,0,0,62.71,1.96,0,1.96,1.96,0,0
