stage,axial,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,1,2,0,2,0,0,0,1,1,0,0,0,1,5,20,326,0,0,1,0,0,4,0,350,110,2,0,0,0
 24-34,0,0.82,0,0,0,5.75,0,0,0,0,0,0,0,0.82,8.21,28.73,76.34,0,0.82,0,0,1.64,0,0,120.67,81.26,2.46,1.64,0,0
 36-46,0,0,0.81,0,1.61,12.89,0,0,0,0,0,0,0,0.81,2.42,16.92,45.12,0,0,0,0,0.81,0,0,18.53,1.61,2.42,0.81,0,0
 48-58,0,0,0,0,1.72,12.62,0,0,0.57,0,0,0,0,0,2.87,18.36,27.54,0.57,0,0,0,0.57,0,0,10.33,0,2.87,0,0,0.57
 60-70,0,0,0,0,0.98,11.78,0,0,0.98,0,1.96,0,0,2.94,0,14.72,13.74,0,0,0.98,0,0,0,0.98,14.72,0,0.98,0.98,0,0
 72-82,0,0,0,0,3.93,17.67,0,0,0.98,0,1.96,0,0,0,2.94,18.65,7.85,0,0,0,0.98,0,0,0,10.8,0,0,1.96,0,0
 84-94,0,0,0,1.06,3.19,13.81,1.06,0,1.06,0,0,0,0,2.12,1.06,4.25,25.49,1.06,0,0,0,0,0,0,10.62,0,0,0,0,0
 96-106,0,0,2.19,0,6.56,37.16,0,1.09,1.09,0,3.28,0,1.09,8.74,3.28,8.74,30.6,0,0,0,0,1.09,0,0,15.3,0,0,2.19,1.09,0
108-118,0,0,0.77,0,6.89,46.72,0,0,1.53,0,3.83,0.77,0.77,3.06,5.36,5.36,24.51,0,0,0,0,0,0,0,9.96,0,0,1.53,0,0
120,1.96,0,0,1.96,3.92,50.95,0,0,0,0,3.92,0,0,3.92,7.84,19.6,41.16,1.96,0,0,0,0,0,0,9.8,0,0,1.96,0,0
