stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,visceral_smooth_muscle
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,7.89,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0,1.64,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0,6.45,0.81,0.81,0,0,0.81,0.81,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,0,0.57,0,0,1.15,0,0,6.31,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,5.89,1.96,4.91,0,0,0,0,0,0,5.89,0,1.96,19.63,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,1.96,0.98,4.91,0,0,0,0,0,0,5.89,0.98,0,16.69,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,3.19,3.19,4.25,0,0,0,0,0,1.06,2.12,0,1.06,12.74,0,0,0,1.06,2.12,0,0,0
 96-106,0,0,0,2.19,0,3.28,7.65,2.19,1.09,0,1.09,0,0,0,4.37,2.19,2.19,10.93,0,0,1.09,0,1.09,0,0,0
108-118,0,0,0,0.77,0,1.53,2.3,4.6,1.53,0,0,0.77,0.77,0,1.53,0,0.77,6.13,0,0,0,0,0,0,0,0
120,0,0,0,0,0,3.92,7.84,3.92,1.96,0,0,0,0,0,0,0,1.96,9.8,0,1.96,0,0,0,0,0,0
