stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,723.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,18.4,0,0,26.29,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,289.16,5.26,0,0,105.15,0,5.26,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,9.44,31.47,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,280.08,18.88,0,0,113.29,0,0,3.15,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,6,72,0,0,0,3,0,0,0,11,1,0,4,27,0,0,0,0
 24-34,0,0,0,0,0.82,0,9.85,0,0,0.82,0.82,0,0,0,0,0,0.82,0,12.31,0,0,4.1,149.4,2.46,0.82,0.82,0,0,3.28,0,0,0,0,1.64,25.45,0,2.46,0,0
 36-46,0,0,0,0.81,1.61,0,18.53,0,0,2.42,0,0,0,0,0,0,0,0,11.28,0.81,0.81,2.42,135.35,0,0.81,0.81,0,0,1.61,0,0.81,0,0,0,29,0,1.61,0,0.81
 48-58,0,0,0,0,0,0.57,47.05,0.57,0,6.31,0,0.57,0.57,0.57,0,0,1.15,0,14.35,0.57,0.57,1.15,107.3,0.57,0,0.57,0,0,0,0,0,0,0,0,15.49,0,1.15,0,0
 60-70,0,0,0,0,2.94,1.96,55.95,0,0,5.89,0,0,0,0,0,0,1.96,0,16.69,0,0.98,0.98,123.67,0,0.98,0.98,0,0,0,0,0,0,0.98,0,19.63,0,0.98,0,0
 72-82,0,0,0.98,0,0,0.98,35.34,0,0.98,6.87,0,0,0.98,0,0.98,0,0.98,0,13.74,0.98,0.98,0.98,83.44,0,1.96,0,0,0,2.94,0,0,0,0,0,10.8,0.98,0.98,0.98,0.98
 84-94,0,0,0,0,6.37,0,25.49,1.06,0,4.25,0,0,1.06,2.12,0,0,0,1.06,14.87,0,0,1.06,42.48,1.06,0,1.06,0,0,2.12,0,0,0,0,0,3.19,0,1.06,1.06,0
 96-106,0,0,0,0,2.19,5.46,19.67,3.28,1.09,7.65,1.09,0,1.09,0,0,1.09,2.19,0,14.21,0,0,1.09,49.18,0,1.09,0,0,0,2.19,0,0,0,0,0,1.09,1.09,1.09,0,1.09
108-118,0,0,0,0,4.6,0,16.09,1.53,0,4.6,0.77,0,0,0.77,0,0,2.3,0,13.02,0,0,2.3,39.06,0,0.77,0,0,0,0.77,0,0,0,0,0,1.53,0,1.53,0,0
120,0,0,0,0,1.96,0,13.72,0,0,3.92,1.96,0,0,0,0,0,0,0,0,0,3.92,1.96,41.16,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96
