stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,3,16,2,3,0,0,1,2,2,0,1,0,0,0,0,9,0,9,107,3,1,0,1,7,7,1,7,34,0,0,0,0
 24-34,0,9.85,0.82,79.62,0,0,3.28,0,0,0,0,0.82,0,0.82,0.82,33.66,0,11.49,405.5,1.64,0.82,4.93,0,12.31,0,1.64,2.46,76.34,0,0,4.1,0.82
 36-46,0,5.64,4.03,134.55,0,0,6.45,0.81,0.81,0.81,0,0,0,0,0,25.78,0.81,4.03,256.2,0.81,1.61,0.81,0,8.06,0,0,0,42.7,0,0,0.81,0.81
 48-58,0,6.31,5.16,161.24,1.15,0.57,10.33,1.15,0,0,0,0.57,1.15,0,0,25.82,0.57,4.59,130.83,0.57,2.3,0,0,2.3,0,0,0,18.94,0,0,1.72,0
 60-70,0,6.87,0,140.36,0.98,0,12.76,0,0,0,0,0.98,0.98,0,0,32.39,0.98,1.96,100.12,1.96,0.98,0.98,0,0,0,0,0,3.93,0,0.98,1.96,0.98
 72-82,0,2.94,0,53.01,0,0.98,3.93,0,0.98,0,0,0,0.98,0,0,12.76,0.98,1.96,47.12,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0
 84-94,0,2.12,0,24.43,0,0,3.19,3.19,0,3.19,2.12,2.12,1.06,0,0,21.24,2.12,1.06,30.8,0,1.06,0,0,1.06,0,0,0,1.06,0,0,5.31,0
 96-106,0,0,0,19.67,0,0,4.37,0,0,1.09,0,0,0,0,0,8.74,0,1.09,14.21,0,0,0,0,4.37,0,0,0,0,0,0,2.19,0
108-118,0,1.53,3.83,23.74,0,0,3.83,0,0,0.77,0,0,0.77,0,0,4.6,1.53,0.77,22.21,0,0,0.77,0,0.77,0,0.77,0,0,0.77,0.77,1.53,0
120,0,1.96,7.84,54.87,0,0,9.8,0,1.96,1.96,0,0,1.96,0,0,13.72,1.96,9.8,47.03,0,0,0,0,1.96,0,0,0,0,0,0,7.84,0
