stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,0.82,1.64,0,0,1.64,4.1,0,0.82,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,4.83,0,0,0,0.81,4.03,0,0.81,12.09,0,0,0,0,0,0.81,2.42,0,0
 48-58,0,0.57,0,3.44,0,1.72,0,1.15,2.3,0.57,1.72,17.21,0,0.57,0,0,0,0.57,3.44,0.57,0
 60-70,0,0,0,5.89,0.98,0,0.98,0,5.89,0,0.98,34.35,0,0,0,0,0,0.98,8.83,0.98,0
 72-82,0,0,0,24.54,0,5.89,0,0,0.98,0,1.96,38.28,0,1.96,0,0,0,0.98,2.94,0,0
 84-94,0,0,0,26.55,0,3.19,1.06,1.06,3.19,0,1.06,21.24,0,0,0,0,1.06,0,3.19,0,1.06
 96-106,0,1.09,0,15.3,0,6.56,0,1.09,2.19,0,1.09,15.3,0,2.19,0,1.09,0,0,2.19,0,0
108-118,0,0.77,0,8.43,0,1.53,3.06,2.3,3.06,0,0.77,19.15,0.77,1.53,0,0,0,0.77,0,0,0.77
120,0,0,1.96,15.68,0,5.88,3.92,1.96,0,0,0,15.68,1.96,0,0,1.96,0,0,5.88,0,0
