stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,immune,lateral_line,mesenchyme,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,7.89,0,13.14,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,15.73,0,22.03,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0
 24-34,0,0,0,0,0,0,0,0,3.28,0.82,0,0,0,0.82,0
 36-46,0,0,0,1.61,0,0,0,0,11.28,0,0,0,0,1.61,0
 48-58,0,0,0.57,6.31,0,0,0,0,14.92,0,0,0,0,0.57,1.15
 60-70,0,0,0,5.89,0,0,0,0.98,23.56,0.98,0,0,0,0.98,0
 72-82,0,0,0,9.82,0,0,0,0,26.5,0,0,0,0,0.98,0
 84-94,0,1.06,0,4.25,0,1.06,0,0,9.56,3.19,0,0,0,2.12,0
 96-106,1.09,0,0,1.09,0,1.09,1.09,0,7.65,1.09,0,0,0,0,0
108-118,0,0,0,1.53,0.77,0,0.77,0,6.13,3.06,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,3.92,1.96,0,1.96,0,0,0
