stage,blastomeres,epidermis,eye,glial,gut,heart,melanocytes,mesenchyme,mucous,neural,otic,paraxial_mesoderm,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,18.4,0,7.89,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0
 14-21,0,3,0,0,0,0,0,0,0,3,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,9.03,0,0,3.28
 36-46,0,0.81,0.81,0.81,0,0,0,0.81,0,7.25,0.81,0,1.61
 48-58,0,0,2.3,1.15,0.57,0,0,2.3,0.57,8.61,0,0,1.15
 60-70,0,0,1.96,0.98,0,0,0,1.96,0,5.89,0,0,0
 72-82,0,1.96,2.94,4.91,0,0,0,1.96,0,3.93,0,0,0
 84-94,0,0,1.06,0,0,0,0,1.06,0,5.31,0,0,3.19
 96-106,0,1.09,3.28,1.09,1.09,0,0,0,0,1.09,0,0,0
108-118,0,0,1.53,0.77,0,0.77,0.77,1.53,0,1.53,0.77,0,0
120,0,0,0,0,0,0,0,0,0,3.92,1.96,0,0
