stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,948.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,55.2,55.2,0,68.35,0,2.63,228.7,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,1130.35,55.2,0,0,407.45,0,0,7.89,0,2.63,0,0,0,0,0,0,0
 10-12,0,50.35,0,116.44,0,12.59,166.79,0,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,1519.99,59.79,0,0,579.04,0,0,3.15,0,72.38,0,6.29,3.15,0,0,0,0
 14-21,0,0,2,7,55,10,19,0,0,24,3,1,1,0,1,0,0,0,0,34,0,0,17,252,8,0,6,9,0,0,3,35,16,2,54,120,0,1,0,0
 24-34,0,0,0.82,1.64,18.06,1.64,36.94,1.64,0,23.8,0,0,0.82,0,0,0,3.28,0,0.82,44.33,0,0.82,23.8,383.34,3.28,8.21,8.21,0,0,1.64,0,0.82,2.46,0.82,9.85,135.44,0,10.67,0,0
 36-46,0,0,0,0.81,8.06,0,80.57,1.61,2.42,46.73,0.81,0,0,0,0,0,1.61,0.81,0.81,68.48,0.81,0.81,17.72,323.88,6.45,8.06,6.45,0,0.81,0,0,0,2.42,0,0,124.07,0,4.03,0,0
 48-58,0,0,0,0,4.59,0,113.04,0.57,2.87,72.3,0,0,0.57,0,0,0.57,2.87,1.15,0.57,61.4,0,4.59,13.2,144.03,1.15,6.31,3.44,0,0.57,0,0.57,0,2.3,0,0,88.37,0.57,4.59,0,0
 60-70,0,0,0,0,11.78,0,164.9,0.98,3.93,75.58,2.94,0,0.98,0,0,0.98,1.96,0.98,0,96.19,0,2.94,9.82,95.21,0.98,5.89,10.8,0,0,0,0,0,2.94,0,0,41.22,5.89,3.93,0.98,1.96
 72-82,0,0,2.94,0,7.85,1.96,118.78,0,5.89,41.23,0.98,0,1.96,0,0.98,0,2.94,0,0,113.87,0.98,4.91,8.83,77.55,0,12.76,12.76,0,1.96,0.98,0,0,0.98,0,0,11.78,2.94,4.91,2.94,0
 84-94,1.06,0,3.19,1.06,13.81,2.12,114.7,0,0,37.17,4.25,1.06,0,2.12,0,0,6.37,1.06,0,48.85,0,4.25,4.25,52.04,1.06,8.5,14.87,0,2.12,2.12,0,0,1.06,0,0,8.5,5.31,4.25,2.12,1.06
 96-106,0,0,1.09,0,14.21,2.19,59.01,1.09,1.09,31.69,1.09,0,1.09,1.09,0,1.09,8.74,1.09,0,65.57,0,2.19,5.46,34.97,1.09,10.93,19.67,0,0,1.09,0,0,4.37,0,0,5.46,1.09,7.65,2.19,1.09
108-118,0,0,0.77,0,10.72,1.53,49.02,3.06,2.3,34.47,0.77,0,0,0.77,0,2.3,2.3,1.53,0.77,55.92,0,3.06,3.06,52.85,0.77,9.19,9.96,0,0,0,0,0,0.77,0,0,5.36,2.3,6.13,0,0
120,0,0,0,0,27.44,0,60.75,0,0,17.64,1.96,0,1.96,0,0,0,13.72,0,0,47.03,1.96,7.84,5.88,62.71,0,11.76,7.84,0,5.88,1.96,0,0,0,1.96,0,7.84,0,5.88,0,0
