stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0.57,0,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,0,11.78,3.93,0,0,0,0,0,0,0.98,0,0,3.93,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.98,1.96,0,0
 72-82,2.94,2.94,0.98,8.83,0,0,0,34.36,29.45,0.98,0,0,1.96,0,0,0,0,4.91,13.74,0,0.98,28.47,0,0.98,0.98,0,4.91,0,0,0,0.98,1.96,0,2.94,1.96,1.96
 84-94,14.87,6.37,0,10.62,0,0,0,20.18,103.02,0,1.06,0,0,1.06,0,1.06,0,2.12,7.43,0,1.06,21.24,0,0,0,0,8.5,0,0,1.06,0,2.12,0,6.37,0,0
 96-106,34.97,10.93,1.09,37.16,2.19,5.46,1.09,43.71,198.9,0,3.28,2.19,4.37,1.09,3.28,3.28,0,27.32,39.34,1.09,4.37,98.36,3.28,2.19,1.09,1.09,12.02,0,1.09,0,3.28,16.39,4.37,10.93,2.19,3.28
108-118,45.19,6.13,1.53,18.38,0.77,1.53,0,41.36,230.55,0,1.53,1.53,1.53,0.77,0,0,0.77,12.26,33.7,0,1.53,44.43,1.53,1.53,0.77,0,6.13,0.77,0.77,5.36,0,18.38,0.77,2.3,0.77,1.53
120,23.52,9.8,3.92,9.8,1.96,0,1.96,43.12,97.99,0,1.96,1.96,1.96,1.96,0,1.96,1.96,13.72,35.28,0,0,58.79,0,0,0,1.96,5.88,0,0,3.92,5.88,1.96,0,5.88,0,1.96
