stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,2.63,0,0,0,0,31.54,0,0,0,28.92,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,31.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,1,0,0,0,0,0,18,1,0,0,1,0,8,2,5,0,0,0,0,0
 24-34,0,0,0,0,0,9.85,0.82,0,0,0.82,1.64,0,90.29,0,1.64,0.82,0,0,0,3.28,36.94,0,0,0,0,0
 36-46,0,0,0,0,0,29.81,1.61,0,0,0,0.81,0,94.26,0,0.81,0,0,0,0,0,41.09,0,0,0,0,0
 48-58,0,0,0,0.57,0,44.76,2.87,0,0,0,0.57,0,91.81,0,0.57,0,0,0,0,0,32.71,0,0,0,0,0.57
 60-70,0,0,0,0,0,44.17,3.93,0,0,0,0.98,0,36.32,0,0,0,0,0,0,0,28.46,0.98,0.98,0,0,0
 72-82,0,0,0,0,0,23.56,3.93,0,0,0,0.98,0,28.47,0,0,0.98,0,0,0,0,5.89,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,18.05,5.31,0,0,0,1.06,0,16.99,0,0,0,0,1.06,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,0,0,12.02,1.09,0,0,0,0,1.09,20.76,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0.77,5.36,0.77,0,0.77,0,0,0,9.96,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,9.8,1.96,0,0,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0,3.92,0,0
