stage,blastomeres,epidermis,eye,glial,lateral_line,mesenchyme,muscle,neural,notochord,otic,periderm,pgc,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0
 24-34,0,0,0,0,0,0,0,3.28,0,0.82,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,1.15,0,0,0,0.57,2.3,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,5.89,0,0,0,0,0.98,0
 72-82,0,0,2.94,0,0,0,0,5.89,0,0,0,0,0,0.98
 84-94,0,2.12,1.06,0,1.06,3.19,0,2.12,0,0,0,0,1.06,0
 96-106,0,0,1.09,1.09,0,0,0,2.19,0,0,1.09,0,0,0
108-118,0,0,0.77,0,0,0.77,0,2.3,0,0,0.77,0,0,0
120,0,0,5.88,0,0,1.96,0,1.96,0,0,0,0,0,0
