stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,36.78,711.04,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,15.77,15.77,0,5.26,0,0,0,28.92,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,247.1,18.4,0,97.26,5.26,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,3.15,0,37.76,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,163.64,6.29,0,97.56,6.29,6.29,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,2,2,0,3,0,0,0,0,1,0,0,0,23,0,0,0,2,1,1,18,0,1,1,2,1,2,0,5,8,21,0,1,0
 24-34,0,0,0,0,3.28,0.82,0,3.28,0,0.82,0,0.82,0,0,0,0,42.68,0,0,0,4.1,0,4.93,18.06,0,9.03,0,4.1,0,0,0,4.93,4.93,15.6,0,1.64,0
 36-46,0,0,0.81,0,0,0,0,9.67,0.81,0.81,0,0.81,0,0,0,0,7.25,0,0,0.81,0.81,0.81,0,12.09,0,4.83,0,2.42,0.81,0,0,2.42,0,5.64,0,0,0
 48-58,0,0,0,0,2.87,0,0,2.87,0,0,0,1.15,0.57,0,0,0,4.02,0,0,0,3.44,0.57,1.72,9.75,0,5.16,0,1.15,0,0,0,0.57,0,4.02,0,0.57,0.57
 60-70,0,0,0,0,0,0,0,13.74,0,0,0,0,0.98,0,0.98,0,2.94,0,0,0,3.93,0,1.96,8.83,0,8.83,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,0,0,11.78,0,0,0.98,0.98,0.98,0,0,0.98,0,0,0,0,2.94,0,0.98,2.94,0,17.67,0,0,0,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,0,5.31,0,0,1.06,0,0,0,0,0,5.31,0,0,0,1.06,0,0,1.06,0,38.23,0,5.31,0,0,0,3.19,0,1.06,0,0,0
 96-106,0,0,0,0,5.46,0,0,3.28,2.19,0,0,0,1.09,0,0,0,0,1.09,2.19,0,0,0,1.09,0,0,28.41,0,2.19,0,0,0,5.46,0,0,0,1.09,0
108-118,0,0,0,0,0.77,0.77,0.77,5.36,0.77,0,0,0.77,0,0,0,0.77,2.3,0.77,0,0,0.77,0,2.3,5.36,0,24.51,0,1.53,0,0,0,9.96,0,0,0,0,0
120,0,0,0,0,0,1.96,1.96,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,5.88,0,37.24,0,0,0,0,0,3.92,0,0,0,0,1.96
