stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,gut,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,0,2.46,0,0,4.1,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,2.42,0,0,0
 48-58,0,0.57,0,0,0,0.57,0.57,0.57,0,0,0,1.72,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0.98,0,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,0,0,0.98,0,0,0.98,2.94,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,2.12
 96-106,0,2.19,0,0,3.28,1.09,1.09,1.09,0,0,2.19,0,0,1.09,0,1.09,0,1.09
108-118,0,0,0.77,3.06,0,0,4.6,0,0,0,2.3,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,1.96,1.96,0,3.92,0,0,0,0,0,0,0
