stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,1.64,0,0,0,2.46,0.82,0,0,39.4,0,0,0.82,0,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,82.98,0.81,0,1.61,0,0,0
 48-58,0.57,0,2.3,0,2.3,0,0,0,0,0,0,0,0,0,0.57,5.16,0,0,0,101.56,0,0,1.15,0,0.57,0
 60-70,3.93,0.98,2.94,0,4.91,0,0,0,0.98,0,0,0.98,0.98,0,0.98,3.93,0,0,0,130.54,0,0,1.96,0,0,0
 72-82,13.74,0,1.96,0,6.87,0.98,0,0,0.98,0,0,0.98,0,0.98,0.98,2.94,0,0,0.98,195.35,0,1.96,0,0.98,0,0
 84-94,28.68,1.06,1.06,0,16.99,0,0,0,14.87,0,0,2.12,1.06,0,0,1.06,0,0,0,306.93,0,0,1.06,3.19,0,0
 96-106,84.15,0,6.56,1.09,31.69,4.37,1.09,0,22.95,2.19,0,3.28,9.84,1.09,0,17.49,0,3.28,2.19,932.2,0,0,2.19,14.21,3.28,2.19
108-118,98.04,0,4.6,0,76.6,0.77,0.77,0.77,59.75,0.77,0.77,3.83,10.72,0,1.53,13.79,0,0,0,1056.26,0,0,0,33.7,0.77,0
120,39.2,0,3.92,0,39.2,0,0,0,19.6,0,0,3.92,5.88,0,0,3.92,1.96,0,0,523.26,0,0,0,15.68,0,0
