stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,40.91,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,7,0,1,0,0,0,1,2,0,0,0,0,0,3,0,0,2,14,0,0,0,1,0,0,0,4,1,0,6,16,0,0,0,0,0
 24-34,0,0,3.28,0,4.1,0,0.82,0,0.82,0.82,0,1.64,0.82,0.82,0,7.39,0,0,2.46,18.06,0,0,0,0,0,0.82,0,0,2.46,0,0,0.82,0,0,0,0,0
 36-46,0,0,2.42,0,0,0,0,0.81,0.81,2.42,0,0.81,0,0,0,3.22,0,0,1.61,37.06,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,0,0,0
 48-58,0,0,2.3,0,8.03,0,0,0,5.16,0.57,0,1.15,0,0,0,8.61,0,0,0.57,63.69,0.57,0.57,0,0,0,0,0,0,0,1.15,0,3.44,0,0,0.57,0,0
 60-70,0,0,4.91,0,10.8,0.98,0.98,0,3.93,0.98,0,6.87,0,0,4.91,21.59,0,0,0.98,49.08,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0
 72-82,0,0,4.91,0,11.78,0,0,0,8.83,0,0,6.87,0,2.94,9.82,31.41,0,0,2.94,53.01,0,0.98,0,0,0,0,0,0,2.94,0.98,0,0.98,0,0.98,2.94,0,0
 84-94,0,0,8.5,0,8.5,0,1.06,0,5.31,1.06,0,12.74,1.06,0,15.93,12.74,1.06,0,1.06,25.49,0,0,2.12,0,0,0,0,0,1.06,1.06,0,2.12,1.06,0,0,0,1.06
 96-106,0,0,7.65,1.09,5.46,0,4.37,1.09,4.37,1.09,0,15.3,0,2.19,22.95,15.3,0,2.19,1.09,18.58,0,0,1.09,0,1.09,1.09,0,0,3.28,1.09,0,0,0,0,0,0,0
108-118,0,0,13.02,0,3.06,0,1.53,2.3,6.13,0.77,0,15.32,0.77,3.06,21.45,19.15,0,0,3.06,13.79,0,0,0.77,0,0,0.77,0,0,0.77,0.77,0,1.53,0,1.53,0,0,0
120,0,0,25.48,1.96,7.84,0,0,0,3.92,1.96,0,25.48,0,0,21.56,11.76,0,1.96,1.96,17.64,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,0,5.88,1.96,0
