stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,118.29,0,0,0,0,0,0,0,0,0
 10-12,3.15,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,119.58,0,3.15,12.59,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,8.06,0,0,0,0,1.61,0,0,0,0.81,0,0.81,0,0,0,0.81,0,0,0,0
 48-58,0,0,2.87,0,0,0,0,0,0,0,8.61,0,0,0,0.57,6.31,0,1.15,0,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,9.82,0,0.98,0.98,0,0.98,0,0,19.63,0,0,0,0,2.94,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,22.58,0,0.98,0,0,16.69,0.98,0,52.03,0,0,0,0.98,2.94,0,6.87,0,0.98,0,0.98,0,0,0,0,14.72,0,0,0
 84-94,0,0,66.91,0,0,0,0,47.79,0,2.12,73.28,0,0,0,1.06,3.19,1.06,1.06,0,0,0,3.19,0,0,0,0,89.21,0,1.06,1.06
 96-106,0,0,69.94,0,4.37,0,1.09,134.42,0,0,112.56,2.19,0,1.09,1.09,5.46,0,6.56,0,1.09,0,1.09,0,0,0,0,122.4,0,0,0
108-118,0,0,63.57,0,1.53,0,3.06,139.41,0,0,79.66,0,0.77,0,1.53,3.83,0.77,3.06,0,0,0,0.77,0,0,0,0.77,124.09,0,0.77,0
120,0,0,43.12,1.96,3.92,0,0,60.75,0,0,43.12,3.92,0,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,45.08,1.96,0,0
