stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,4.1,0,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,0,0.82,0,1.64,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,1.72,0,0,0.57,0,0.57,0,0,0,0,0,0,0.57,0,0,0,1.15,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,6.87,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,11.78,0,0,0,0
 72-82,0,0.98,28.47,1.96,0,29.45,0.98,1.96,0,6.87,5.89,0,0.98,1.96,0.98,1.96,0.98,1.96,0,17.67,0.98,0,2.94,107,0.98,6.87,1.96,0,0.98,8.83,0,4.91,60.86,0,4.91,4.91,0
 84-94,0,0,37.17,2.12,1.06,24.43,1.06,2.12,1.06,3.19,11.68,0,0,2.12,1.06,1.06,1.06,3.19,2.12,8.5,1.06,0,3.19,52.04,0,1.06,0,0,0,11.68,0,2.12,185.86,1.06,0,1.06,1.06
 96-106,0,0,57.92,9.84,0,71.04,0,2.19,3.28,18.58,22.95,1.09,1.09,4.37,5.46,0,1.09,2.19,1.09,26.23,0,1.09,4.37,89.61,1.09,4.37,1.09,0,0,31.69,2.19,2.19,251.35,2.19,5.46,1.09,1.09
108-118,0,0,38.3,6.13,0,26.81,0.77,2.3,1.53,11.49,19.15,0,0.77,1.53,3.06,0.77,1.53,0,0,22.98,1.53,0,1.53,72,0,4.6,2.3,0,2.3,3.83,0,0.77,259.66,0,1.53,0,0.77
120,0,0,19.6,0,1.96,21.56,1.96,0,0,5.88,9.8,0,1.96,1.96,3.92,0,0,1.96,0,11.76,0,1.96,1.96,48.99,0,3.92,0,0,0,1.96,0,1.96,103.87,1.96,3.92,1.96,3.92
