stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,265.14,0,13.13,0.82,0,0,0,0,0,0,32.01,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,3.22,1.61,0,0.81,0,0,0,0,0.81,0,0,0,0,0,1.61,681.6,0,5.64,0.81,0,0,0,0,0,0,75.73,0,0,0,0,0
 48-58,0,0,0,2.87,0,0,25.25,0,0,0,4.59,0,1.72,0,0.57,0,0,0,2.87,0,0.57,903.17,0.57,1.72,0,0,0,1.72,0,0,0,84.35,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,51.04,0.98,0,0,6.87,0,0,0,0,0,0.98,0,10.8,0,1.96,1419.28,0,0.98,0.98,0,0,0,0,0,0,114.84,0,0,0,0,0.98
 72-82,0,0.98,0,9.82,0.98,0,133.51,0,0,0.98,27.49,0,0.98,0,0,1.96,0,0,16.69,0,1.96,1763.06,0,2.94,1.96,0,0,0,0,0,0,88.35,0.98,0,0.98,0,2.94
 84-94,0,0,0,12.74,1.06,1.06,112.58,0,1.06,0,22.3,0,0,1.06,1.06,1.06,1.06,0,8.5,0,0,884.68,0,1.06,0,0,0,3.19,0,0,0,36.11,0,0,0,1.06,1.06
 96-106,0,0,0,10.93,1.09,1.09,74.31,0,0,1.09,29.51,0,3.28,0,1.09,2.19,0,0,8.74,0,1.09,837.12,0,1.09,2.19,0,1.09,2.19,0,0,0,22.95,2.19,2.19,2.19,1.09,2.19
108-118,0,0,0,10.72,2.3,3.06,53.62,0,1.53,0,9.96,0,0.77,0.77,1.53,3.06,0,0.77,12.26,0.77,1.53,894.64,0,2.3,0.77,0,0,0.77,0,0,0,16.85,0,0.77,0.77,1.53,0.77
120,0,0,0,7.84,3.92,0,94.07,1.96,1.96,3.92,19.6,1.96,1.96,0,0,0,0,3.92,17.64,0,3.92,1097.48,0,1.96,1.96,0,0,0,0,0,0,15.68,0,0,1.96,0,0
