stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,42,0,0,0,0,0,0,0,2,0,1,0,0,0,0,5,5,0,0,2,5,0,1,2,0,0,0,1,0,1,3,0,0,0,0,0
 24-34,0,0,1.64,20.52,0,0,0,0,0,0,0,0.82,0,1.64,0,0,0,0.82,15.6,6.57,0.82,0,3.28,5.75,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,8.06,0,0,1.61,0.81,2.42,0,0,0,0,0.81,0,0.81,0,2.42,3.22,5.64,0,3.22,2.42,7.25,1.61,0,2.42,0,0,0.81,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,10.9,0,0,2.87,1.72,3.44,0,0.57,0,0,0,0,0,0,0,9.18,8.61,0,0,0.57,4.59,1.15,0,2.87,0,0,0,0,0.57,0,0.57,0,0,0.57,0,0
 60-70,0,0,0,8.83,0,0,3.93,0,3.93,0,2.94,0,0,0,0,0.98,0,0.98,27.48,5.89,0,0,0,8.83,0.98,0,0.98,0,0,0,0,0,0,1.96,0,0.98,0,0,0
 72-82,0,0,0,9.82,0,0,2.94,0,2.94,0.98,1.96,0.98,0,0,0.98,0.98,0,1.96,134.49,8.83,0,0,0,17.67,0,0.98,1.96,0,0,0.98,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,26.55,3.19,0,3.19,0,3.19,1.06,0,1.06,0,0,0,0,1.06,0,473.67,8.5,0,2.12,0,20.18,2.12,1.06,2.12,0,0,1.06,0,0,0,1.06,0,0,0,2.12,0
 96-106,0,0,0,17.49,7.65,2.19,21.86,0,3.28,1.09,8.74,3.28,0,1.09,4.37,1.09,0,1.09,727.84,13.11,0,1.09,3.28,96.17,3.28,2.19,2.19,0,1.09,5.46,0,0,0,1.09,1.09,1.09,1.09,1.09,0
108-118,0,0,0,25.28,1.53,0,9.19,0,5.36,0,3.83,3.06,0,0.77,1.53,2.3,0.77,0,1433.88,14.55,0,0,2.3,77.36,3.06,0,6.13,0,0,4.6,0,0,0,0,0,0.77,0.77,0.77,0
120,0,0,0,29.4,3.92,0,3.92,0,3.92,0,1.96,0,0,0,0,0,1.96,0,711.4,7.84,0,1.96,0,47.03,11.76,3.92,7.84,0,0,3.92,0,0,0,0,1.96,0,1.96,0,0
