stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,23,1,0,0,0,1,8,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0,3.28,0,0,172.38,0.82,0,0,0,0,18.88,0,0,0
 36-46,0,0.81,0,0,2.42,0,0,2.42,0,0,0,0,1.61,0,0,261.84,0.81,0,0,0,0.81,20.95,0,0.81,0
 48-58,0,0,0,0,9.75,0,0,5.16,0,0,0,0,3.44,0.57,0,269.69,0,0,0,0,0,14.92,0,0.57,0.57
 60-70,0,0,0,0,10.8,0,0,2.94,0,0,0,0,0,0,0,263.05,0,0,0,0,0,11.78,0.98,0,0
 72-82,0,1.96,0.98,0,26.5,0,0.98,8.83,0,0.98,0,0,5.89,0,0.98,362.23,0,0,0,0,0.98,13.74,0,0,0
 84-94,1.06,0,0,0,20.18,0,0,5.31,0,1.06,0,1.06,1.06,1.06,1.06,211.35,0,0,0,0,1.06,6.37,0,0,0
 96-106,0,2.19,0,0,19.67,1.09,0,4.37,0,0,1.09,0,5.46,0,0,147.53,0,1.09,0,1.09,0,3.28,0,1.09,0
108-118,0,3.06,0,0.77,13.79,0,0,10.72,0.77,0,0,0,3.83,0,0,218.3,0,0.77,0,0.77,2.3,1.53,0,0.77,0
120,0,0,0,0,15.68,0,0,3.92,1.96,0,0,0,1.96,0,1.96,233.21,0,0,0,0,0,5.88,0,0,0
