stage,blastomeres,epidermis,erythrocytes,eye,hatching_gland,heart,immune,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,5.26,2.63,0,0,0,47.32,13.14,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,12.59,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0,0.82,5.75
 36-46,0,0,0,0.81,0,0,0,0,2.42,0,0,0.81,4.03
 48-58,0,0,0,1.15,0,0.57,0,0,4.02,0,0,1.15,1.15
 60-70,0,0,0,0.98,0,0,0,0,1.96,0,0.98,0,5.89
 72-82,0,0,0,0,0,0,0,0.98,1.96,0,0,0,4.91
 84-94,0,1.06,0,0,0,0,0,0,2.12,0,0,0,7.43
 96-106,0,1.09,0,1.09,0,0,0,0,0,0,0,0,5.46
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,11.49
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96
