stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6,2,0,0,0,0,0,2,2,0,0,0,0,0,4,14,0,17,14,0,0,0,0,2,0,17,0,26,9,0,0,2,0,2
 24-34,0.82,9.03,0.82,0,4.93,0,0,0,1.64,4.93,0,0,0,0.82,1.64,9.03,30.37,0,12.31,40.22,0.82,0.82,5.75,0,1.64,0,0,1.64,9.03,4.93,0,0,0.82,0,4.93
 36-46,0,0.81,0,0,4.03,0,0,0,5.64,3.22,0,0,0.81,1.61,0,4.03,18.53,0.81,3.22,18.53,0,0,2.42,0,2.42,0,0,0.81,0.81,5.64,0,0,0,0,5.64
 48-58,0,1.72,0.57,0,8.03,1.15,0,0,13.2,2.87,0,0,0.57,1.15,0.57,3.44,32.13,0,4.02,16.07,0.57,0,5.16,0,2.3,0,0,0,0,11.48,0,0,0.57,0,12.05
 60-70,0,4.91,0,0,25.52,1.96,0,0,27.48,1.96,0,0,2.94,0.98,0,2.94,48.09,0.98,3.93,40.24,0,0.98,3.93,0,0,0,0,0,0,6.87,0,0.98,0,0.98,6.87
 72-82,0,0.98,0,0,36.32,2.94,0.98,0,60.86,2.94,0,0,6.87,2.94,0,0.98,68.72,7.85,10.8,64.79,0,2.94,3.93,0.98,3.93,0,0,0,0,0.98,0,1.96,1.96,0.98,3.93
 84-94,0,5.31,0,0,29.74,4.25,1.06,0,30.8,3.19,0,0,4.25,0,0,2.12,28.68,4.25,8.5,36.11,0,1.06,8.5,1.06,4.25,0,0,2.12,0,2.12,0,3.19,0,0,10.62
 96-106,0,0,0,0,42.62,1.09,2.19,0,32.79,0,1.09,3.28,3.28,1.09,0,1.09,31.69,2.19,3.28,49.18,0,2.19,8.74,1.09,5.46,0,0,1.09,0,0,0,1.09,1.09,0,10.93
108-118,0,2.3,0.77,0.77,31.4,0,0,0.77,28.34,0.77,0,0.77,7.66,0.77,0.77,4.6,33.7,1.53,11.49,38.3,0,0.77,4.6,1.53,10.72,0,0,0,0,0,0,1.53,0,0,15.32
120,0,7.84,1.96,0,31.36,3.92,0,0,33.32,3.92,0,0,3.92,0,0,3.92,27.44,0,11.76,33.32,0,3.92,3.92,0,3.92,1.96,0,0,0,0,1.96,1.96,0,1.96,3.92
