stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,1,0,0,1,4,6,0,0,0,0
 24-34,0,0.82,0.82,2.46,0,0,0,0,0,0,4.93,0,0,0,1.64,0,0,0.82,36.94,0.82,0,0,0,2.46,0,0,9.03,0,0,4.93,0
 36-46,0,0,0,6.45,0,0,0,0.81,0,0,8.06,0.81,0,0,0.81,0.81,0,0.81,33.03,0,0,0,0,1.61,0,0,7.25,0,0,1.61,0
 48-58,0,1.15,0,12.62,0,0,0,2.3,0,0,12.05,0,0,0,2.87,0,0.57,0.57,33.28,0,0,0,0,1.72,0,0,6.89,0,0,2.87,0
 60-70,0,0.98,1.96,19.63,0,0,0,2.94,0,0,30.43,0,0,0.98,8.83,0.98,0,0.98,32.39,0,0,0,0,1.96,0,0,4.91,0,0,0,0
 72-82,0,0.98,0.98,18.65,0,0,0,1.96,0,0.98,38.28,0,0,0,3.93,0,0,0,18.65,0,0,0.98,0,2.94,0,0,0,0,1.96,2.94,0
 84-94,0,0,0,10.62,0,1.06,0,2.12,0,0,62.66,0,1.06,0,0,0,0,2.12,9.56,0,0,0,0,4.25,0,0,1.06,0,0,2.12,0
 96-106,0,2.19,0,13.11,0,0,1.09,3.28,1.09,0,72.13,0,4.37,0,2.19,0,0,0,7.65,0,1.09,0,0,4.37,0,0,0,1.09,0,5.46,1.09
108-118,0,5.36,2.3,8.43,0.77,0.77,0,1.53,0,0,55.92,1.53,3.06,0,3.06,0,0,0,6.89,0.77,0.77,0,0,3.06,0,0,0,0,0,3.06,0
120,0,7.84,0,3.92,0,0,0,3.92,0,0,86.23,0,3.92,0,3.92,0,0,1.96,7.84,0,0,0,0,0,0,0,0,0,0,1.96,0
