stage,epidermis,erythrocytes,eye,glial,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  7-9,0,0,2.63,0,0,0,0,0,0,0,13.14,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.59,0,9.44,0,0,0,0,0
 14-21,6,1,1,0,0,1,0,0,0,0,3,0,1,0,1,4,2,0
 24-34,0.82,0,0.82,0,0,0,0,1.64,0,0.82,14.78,0,0,0.82,0,0,4.1,0
 36-46,0,0,0,1.61,0,0,0,0.81,0.81,0.81,11.28,0,0,0,0,0,2.42,0
 48-58,0.57,0,0,0,0,0,0,2.3,0,0,5.16,0.57,0,0,0,0,2.3,0
 60-70,0,0,5.89,0.98,0,0,0,1.96,0,0,13.74,0,0,0,0,0,1.96,0
 72-82,0,0,3.93,1.96,0,0,0,1.96,0,0.98,9.82,0,0,0,0,0,2.94,0
 84-94,0,0,1.06,0,0,0,0,3.19,0,0,7.43,0,0,2.12,0,0,1.06,0
 96-106,1.09,0,1.09,0,0,0,1.09,3.28,0,2.19,4.37,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0,3.06,0,0,8.43,0,0,0.77,0,0,0.77,0
120,0,0,1.96,0,0,0,0,3.92,0,0,5.88,0,0,0,0,0,0,3.92
