stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,7,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,29,0,0,1,2,0,0,0,5,3,6,0,0,0,0
 24-34,0,0,0,0.82,3.28,2.46,0,10.67,0.82,0.82,0,0.82,0,0.82,0,0,0.82,4.93,0,0,0.82,61.56,0,1.64,0,0,0,6.57,0,0,0,12.31,0,0,0.82,0
 36-46,0,0,0,0,2.42,0,0,17.72,0,1.61,0.81,0.81,0.81,0.81,0,0,0,2.42,0,0.81,1.61,24.17,1.61,0.81,0.81,0,0,0.81,0.81,0,0,8.06,0,0,0.81,0
 48-58,0,0,0,0,2.87,0.57,0,26.97,0,4.02,1.15,0,0.57,1.15,0.57,0,0.57,2.3,1.15,0.57,0,38.44,0,0.57,0,0,0,1.72,0,0,0,5.16,0,0,0,0
 60-70,0,0,0,0,4.91,0,0,51.04,0.98,0.98,1.96,0.98,0.98,0,0,0,0,8.83,1.96,0,0,28.46,0,1.96,0,0,0,4.91,0,0,0,1.96,0,0,1.96,0
 72-82,0,0,0.98,0,3.93,0,0.98,70.68,0.98,4.91,1.96,1.96,4.91,0,0,0.98,0,14.72,1.96,0,0,63.81,0.98,2.94,0,0,0,2.94,0,0,0,2.94,0,0.98,1.96,0
 84-94,0,0,1.06,0,1.06,0,0,20.18,0,1.06,1.06,0,4.25,1.06,0,0,0,5.31,2.12,0,0,18.05,3.19,2.12,1.06,0,0,4.25,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,7.65,1.09,0,16.39,0,2.19,3.28,6.56,9.84,1.09,0,1.09,0,4.37,2.19,1.09,1.09,21.86,1.09,4.37,1.09,0,1.09,27.32,0,0,0,0,3.28,0,1.09,1.09
108-118,0,0,0,0,3.83,2.3,0,18.38,0.77,5.36,0,0,2.3,0.77,0,0,0,8.43,0,0,1.53,14.55,2.3,3.06,0,0,0,14.55,0,0,0,0,0,0.77,2.3,0
120,0,0,0,0,0,1.96,0,13.72,0,0,1.96,0,5.88,0,0,0,0,1.96,1.96,0,0,9.8,1.96,1.96,0,0,0,9.8,0,0,0,0,1.96,0,0,0
