stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,42,1,0,0,0,0,0,2,1,0,0,3,0,0,0,0,3,0,0,5,8,0,2,1,0,0,78,0,11,3,11,0,0,1,0,0
 24-34,0.82,32.83,0.82,4.1,0.82,5.75,0,0,0.82,0,3.28,0.82,15.6,0,4.93,0,0,6.57,2.46,0,4.93,50.07,1.64,2.46,2.46,0,0,284.84,1.64,7.39,0,18.88,0,0,3.28,0,0
 36-46,0,17.72,0,20.95,1.61,3.22,0,0.81,0,1.61,0.81,0,4.83,0.81,4.03,0.81,0,16.92,1.61,0.81,2.42,67.68,0.81,3.22,2.42,0,0,302.93,0,11.28,1.61,37.87,0,0.81,1.61,0,0
 48-58,0,9.18,0,31.56,1.15,4.59,0,8.61,0.57,1.15,0.57,0,2.87,0,2.87,0.57,0,25.82,1.15,0,1.15,65.41,0,1.72,1.72,0,0,218.62,0,8.61,0,41.31,0,0,4.59,0.57,0
 60-70,0,20.61,0.98,38.28,1.96,5.89,0,9.82,0,1.96,2.94,0,4.91,1.96,0.98,0,0,26.5,2.94,2.94,6.87,56.93,0,0.98,3.93,0,0,217.9,0.98,10.8,0,24.54,0,0,2.94,0.98,0
 72-82,0,75.59,0.98,29.45,0,6.87,0,29.45,1.96,1.96,0.98,0,14.72,0.98,4.91,1.96,0,50.06,2.94,4.91,5.89,47.12,0,0,5.89,0.98,0,235.6,0,1.96,0,8.83,1.96,1.96,10.8,6.87,1.96
 84-94,0,130.63,2.12,24.43,2.12,25.49,1.06,25.49,13.81,4.25,2.12,3.19,25.49,0,4.25,1.06,1.06,36.11,9.56,3.19,5.31,32.92,0,5.31,7.43,0,0,732.81,1.06,7.43,0,12.74,10.62,3.19,4.25,2.12,1.06
 96-106,0,175.95,0,21.86,4.37,18.58,2.19,13.11,26.23,0,2.19,6.56,26.23,7.65,9.84,1.09,0,29.51,5.46,3.28,4.37,41.53,0,7.65,2.19,0,1.09,516.92,2.19,3.28,0,3.28,12.02,0,5.46,4.37,0
108-118,0,211.41,0,19.92,4.6,26.04,0.77,14.55,16.09,0,2.3,1.53,36.77,6.13,9.96,0.77,0.77,23.74,9.96,3.83,3.06,42.89,0,3.83,9.19,0,0,418.98,0,2.3,0,0.77,18.38,0.77,3.83,3.06,2.3
120,0,135.23,1.96,19.6,5.88,29.4,1.96,11.76,1.96,0,0,0,23.52,5.88,5.88,1.96,0,11.76,5.88,0,3.92,35.28,0,3.92,1.96,0,0,246.93,0,0,0,3.92,3.92,3.92,1.96,0,0
