stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,1,1,0,0,0,0,0,0,2,0,1,4,1,0,0,1,1,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.1,0,4.93,2.46,1.64,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0.81,0,0,0,0.81,6.45,0,0,4.83,0,0,0,0,0,0,0,0,1.61,0,0.81
 48-58,0,0,0,0,0,0,0.57,0,0.57,0,0,2.87,0,0,3.44,0,0,0,0,0,1.15,0,0,0.57,0,0
 60-70,0,0,0,0,5.89,0,0,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0,1.96,0,0.98,0.98,0,0
 72-82,0,0,0,1.96,10.8,0,0,0.98,0,0,0,4.91,0,0,6.87,0,0,0,0,0,2.94,0,0,0.98,0.98,0
 84-94,0,0,0,3.19,13.81,1.06,0,0,0,1.06,0,2.12,3.19,0,7.43,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,2.19,15.3,0,0,1.09,0,2.19,0,0,0,0,5.46,0,0,0,0,0,0,0,2.19,0,0,0
108-118,0,1.53,0,0.77,12.26,2.3,0,0.77,0.77,0,0.77,3.06,0,0,2.3,0.77,0,0,0,0,0,0.77,0,0,0,0
120,0,1.96,0,3.92,5.88,0,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,0
