stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,16,2,0,0,1,0,2,1,0,0,0,0,0,0,0,7,0,0,1,19,0,1,0,0,0,0,1,4,3,6,13,0,0,0,0,0
 24-34,0,0,1.64,6.57,0,0,4.1,0.82,3.28,3.28,2.46,0,0,0,1.64,0,0,0,8.21,0.82,0,6.57,36.94,0.82,1.64,0,0,0,0,0,0,3.28,2.46,10.67,0,0,1.64,0,0.82
 36-46,0,0,0,4.03,0,0,8.06,0.81,1.61,3.22,0,0,0,0.81,0.81,0,0,0,10.47,0,0,4.03,36.26,0,3.22,0.81,0,0,4.83,0,0,0.81,0,11.28,0,0,0,0,0.81
 48-58,0,0,0,4.59,0.57,0,13.2,1.72,1.72,2.3,0,0.57,0.57,0,0,0.57,1.15,0,18.94,0,1.72,2.87,26.4,0,4.02,0.57,0,0,8.61,0,0,1.15,0,4.59,0,0.57,1.72,0,1.72
 60-70,0,0,0,5.89,0,0,20.61,1.96,3.93,12.76,0,0,0,0,0,1.96,0,0.98,26.5,0,0.98,4.91,30.43,0.98,3.93,0,0,0,8.83,0,0,3.93,0,3.93,0,0,0.98,0,0
 72-82,0,2.94,0,10.8,3.93,0,26.5,1.96,2.94,18.65,7.85,0,0,2.94,0,2.94,1.96,0.98,51.05,0.98,2.94,9.82,40.25,0,7.85,0.98,0,0,2.94,0,0,0,0,5.89,0,0.98,0.98,2.94,2.94
 84-94,0,5.31,1.06,10.62,4.25,0,11.68,0,3.19,7.43,19.12,0,0,5.31,3.19,5.31,3.19,4.25,33.99,0,3.19,8.5,13.81,0,6.37,2.12,0,1.06,6.37,0,0,5.31,0,2.12,0,1.06,3.19,1.06,0
 96-106,0,5.46,1.09,21.86,2.19,0,19.67,4.37,2.19,12.02,38.25,0,0,4.37,3.28,2.19,2.19,4.37,52.46,1.09,1.09,5.46,27.32,1.09,7.65,2.19,0,3.28,7.65,0,0,3.28,0,1.09,1.09,0,4.37,4.37,2.19
108-118,0,4.6,1.53,16.85,2.3,0.77,12.26,5.36,3.06,11.49,37.53,0,0,2.3,3.83,5.36,2.3,4.6,58.21,0,3.06,4.6,24.51,0,8.43,3.83,0,2.3,7.66,0,0,2.3,0,3.83,1.53,1.53,7.66,2.3,5.36
120,0,1.96,1.96,17.64,3.92,0,13.72,3.92,0,3.92,39.2,0,0,7.84,1.96,1.96,1.96,11.76,35.28,1.96,3.92,9.8,29.4,0,3.92,7.84,0,3.92,9.8,0,0,5.88,0,0,0,1.96,1.96,5.88,0
