stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,24.52,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,10,2,2,0,0,0,2,1,0,0,1,0,0,0,0,4,0,2,6,0,1,1,1,0,5,3,1,4,4,0,0,1,0,0
 24-34,0,0,0,0,7.39,0,2.46,2.46,0,0,0,0,0,0,0.82,0,0.82,0,0,4.93,0,2.46,10.67,0,1.64,0,0,0,5.75,0,0.82,0,3.28,0,0,0.82,0,0
 36-46,0,0,0,0,4.83,0,0.81,1.61,1.61,0.81,0,0,0,0,1.61,0.81,1.61,0,0,3.22,0,0.81,15.31,0.81,1.61,0,0,0,12.09,0,0,0,3.22,0,0,1.61,0,0
 48-58,0,0,0,0,2.3,0,1.72,1.15,0.57,0.57,0,0,0,1.15,0,0.57,0,0,0,5.74,0,1.72,24.67,0,1.72,1.15,0,0,3.44,0,0,0,1.15,0,0,0.57,0,0.57
 60-70,0,0,0,0,3.93,0,27.48,0,0,6.87,0,0,0,3.93,1.96,0,0,0,0,7.85,0,1.96,50.06,0.98,1.96,0.98,0,0,6.87,0,0,0,9.82,0,0.98,0,0,0.98
 72-82,0,0,1.96,0,2.94,0,26.5,0,0,11.78,0.98,0,0,1.96,0,0,0.98,0,0,18.65,0,0,74.61,0,2.94,0.98,0,0,4.91,0,0,0,4.91,1.96,1.96,3.93,0.98,0
 84-94,0,0,0,0,7.43,0,18.05,2.12,0,4.25,3.19,0,0,11.68,4.25,1.06,0,0,1.06,18.05,3.19,0,28.68,0,0,3.19,0,0,16.99,0,0,0,1.06,1.06,1.06,3.19,0,0
 96-106,0,0,0,0,6.56,0,6.56,2.19,3.28,12.02,0,0,0,6.56,2.19,0,2.19,1.09,0,8.74,0,0,27.32,0,3.28,0,0,0,14.21,0,0,0,1.09,1.09,0,2.19,1.09,1.09
108-118,0,0,0,0,13.02,0,12.26,1.53,0.77,9.19,3.06,0,0.77,5.36,3.06,0,0.77,0,0,11.49,0,0.77,29.87,0.77,0,0.77,0,0.77,3.83,0,1.53,0,0.77,6.13,0,4.6,0,0.77
120,0,0,0,0,9.8,0,7.84,1.96,0,13.72,3.92,0,0,5.88,1.96,0,7.84,0,0,15.68,0,1.96,60.75,1.96,0,3.92,0,1.96,1.96,0,0,0,0,3.92,0,0,0,0
