stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.94,9.44,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,1,0,5,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,2,83,0,0,1,0,1,0,3,0,0,1,37,0,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,13.13,0,0,0,3.28,0,0.82,1.64,0.82,0,0,0.82,0.82,8.21,0.82,0,4.1,274.99,0,2.46,2.46,0,3.28,0,0,0.82,0,0,120.67,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,0,8.86,1.61,0,0,13.7,0,0,0,1.61,0,0,0,0,1.61,0,0,1.61,391.56,0,1.61,4.03,0,0.81,0.81,0,0,0,0,145.83,0,0,0,0,0.81
 48-58,0,0,0,0,3.44,0,0,66.56,0,0,0.57,24.1,0,0.57,4.02,1.15,0,3.44,0,0,9.75,0,0,0.57,615.69,0.57,1.15,2.87,0,2.3,0,0,1.15,0,0,145.75,0,0,2.3,0,0.57
 60-70,0,0,0,0,2.94,0,0,205.14,0,0.98,0,40.24,0,0.98,9.82,0.98,0,3.93,0,0,19.63,0,0.98,1.96,1009,0,1.96,0.98,0,6.87,0,0,0,0,0,162.93,0,0,0.98,0,0
 72-82,0,0,0,0,8.83,0.98,0,268.98,0,0.98,0,63.81,0.98,2.94,5.89,2.94,2.94,12.76,1.96,0,22.58,0.98,3.93,2.94,1267.33,0,4.91,11.78,0,0.98,0,0,0,0,0,113.87,1.96,0,0.98,0.98,0
 84-94,0,0,0,0,7.43,1.06,0,184.79,1.06,0,0,37.17,2.12,0,25.49,2.12,1.06,7.43,0,1.06,20.18,1.06,0,1.06,689.26,0,4.25,6.37,0,4.25,0,0,0,0,0,60.54,0,1.06,2.12,1.06,0
 96-106,0,0,1.09,0,7.65,2.19,0,135.51,1.09,0,3.28,52.46,4.37,1.09,21.86,6.56,1.09,8.74,1.09,0,30.6,0,3.28,0,652.43,0,5.46,15.3,0,4.37,0,0,0,0,0,36.06,2.19,1.09,3.28,0,0
108-118,0,0,0,0,10.72,2.3,0.77,127.92,0,0.77,0.77,45.19,0.77,0,13.02,3.06,0,9.96,1.53,0,19.92,0,0.77,2.3,670.22,0,1.53,13.02,0,3.06,0,0,0,0,0,31.4,1.53,0,0,0,0
120,0,0,1.96,0,9.8,0,0,141.1,0,0,1.96,70.55,1.96,1.96,33.32,0,0,5.88,0,0,17.64,1.96,3.92,0,868.19,0,3.92,5.88,0,1.96,0,0,0,1.96,0,35.28,0,0,0,0,0
