stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,5.26,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.47,5.26,0,0,36.8,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,22.03,0,0,0,31.47,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,427.99,12.59,0,0,141.61,0,6.29,6.29,0,25.18,0,3.15,0,0,0,0,0
 14-21,0,0,11,131,17,0,41,0,0,6,7,1,0,0,1,0,0,0,0,28,0,0,21,270,19,1,0,8,0,7,0,35,3,35,88,0,0,5,0,0
 24-34,0,0,8.21,40.22,0.82,0,45.15,6.57,1.64,11.49,0.82,0,0,0,0,0.82,0.82,0,0.82,41.86,0,0,26.27,311.1,2.46,0,4.1,0,0,4.1,0,0.82,1.64,7.39,67.31,0,0,13.13,0,0
 36-46,0,0,0.81,12.09,0.81,0,35.45,0,5.64,11.28,1.61,0,0.81,0,0,0,0.81,0.81,0.81,33.84,0,0.81,13.7,207.06,4.03,1.61,1.61,0,0,2.42,0,0,0,0,48.34,0,0,3.22,0,1.61
 48-58,0,0,0,3.44,0,0,50.49,1.15,3.44,26.4,0.57,0,1.15,0,0.57,0,0,1.72,0,44.18,0,2.87,10.9,76.89,0.57,0,1.15,0,0,6.31,0,0,0,0,32.13,0,0,1.15,0,1.72
 60-70,0,0,0,3.93,0,0,62.82,1.96,2.94,29.45,0.98,0,0,0.98,0,0.98,0.98,0,0,86.37,0,0.98,4.91,51.04,0.98,1.96,3.93,0,0,14.72,0,0,0.98,0,10.8,0,0,4.91,0,0.98
 72-82,0,0,0,5.89,0,0,51.05,1.96,4.91,52.03,4.91,0,1.96,0.98,1.96,0.98,0,0,0,86.39,1.96,1.96,10.8,48.1,0,0.98,4.91,0,0,17.67,0,0,0,0,4.91,0.98,0,3.93,0,2.94
 84-94,0,0,0,19.12,1.06,1.06,54.16,5.31,2.12,33.99,4.25,1.06,1.06,2.12,1.06,0,0,3.19,0,87.09,1.06,2.12,6.37,39.3,2.12,1.06,6.37,0,0,48.85,0,0,0,0,4.25,0,2.12,5.31,1.06,2.12
 96-106,0,0,0,13.11,2.19,0,43.71,2.19,8.74,39.34,4.37,0,0,4.37,2.19,1.09,5.46,5.46,0,61.2,0,0,8.74,39.34,1.09,2.19,6.56,0,0,56.83,0,0,0,0,3.28,2.19,4.37,8.74,0,5.46
108-118,0,0,0.77,19.15,2.3,1.53,49.79,6.13,1.53,34.47,3.06,0,0.77,5.36,1.53,1.53,3.06,5.36,0,53.62,0,2.3,5.36,45.96,0,1.53,3.83,0,2.3,39.83,0,0,0.77,0,1.53,0,0.77,8.43,0.77,6.13
120,0,0,1.96,21.56,0,0,25.48,5.88,11.76,27.44,0,0,0,5.88,0,3.92,0,5.88,0,39.2,1.96,3.92,1.96,43.12,1.96,1.96,3.92,0,0,35.28,0,0,0,0,1.96,0,1.96,1.96,1.96,3.92
