stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,0,0,0,0,0,0,0,28,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,1.64,0,0,0,178.13,0,0.82,0.82,0,0,0,0,83.73,0,0,0,0
 36-46,0,0,0,0.81,0,3.22,0,0,0,3.22,0,0,0,0.81,0,0,0,2.42,0,0,0.81,283.6,0,0,0,0,0,0,0,122.46,0,0,0,0
 48-58,0,0,0,0,0,13.77,0,0,1.72,9.75,0,0,0,0,0,1.15,0,5.74,0,0,0.57,366.09,0,1.15,0,0,0,2.3,0,91.23,0,0,0,0.57
 60-70,0,0,0,0,0.98,47.11,0,0,0,21.59,0,0,0.98,0,0,2.94,0,7.85,0.98,0,0,663.51,0,0.98,0.98,0,0.98,1.96,0,105.02,0,0,0,0
 72-82,0,0,0,2.94,3.93,154.12,0,0,0,37.3,0.98,0.98,0.98,0,0.98,9.82,0.98,20.61,0,0.98,0.98,983.63,0,4.91,3.93,0,0.98,0,0,85.4,0,0,0.98,0
 84-94,0,0,0,7.43,1.06,118.95,0,0,0,26.55,0,0,0,0,0,9.56,1.06,10.62,0,1.06,1.06,498.1,1.06,1.06,10.62,0,0,0,0,42.48,0,0,0,0
 96-106,0,0,1.09,9.84,0,142.07,0,1.09,0,36.06,0,0,1.09,0,0,19.67,0,10.93,0,0,0,450.25,1.09,1.09,10.93,0,0,3.28,0,29.51,0,2.19,1.09,1.09
108-118,0,0,0,4.6,0.77,100.34,0.77,0,0,26.04,0,0,0.77,0,0,6.89,1.53,9.19,0,0,0.77,546.13,0,0.77,8.43,0,1.53,2.3,0.77,19.15,0.77,0,1.53,0
120,0,0,0,9.8,3.92,80.35,0,0,0,31.36,0,0,0,0,1.96,5.88,1.96,13.72,0,0,1.96,519.34,1.96,0,9.8,0,0,3.92,0,25.48,0,0,0,0
