stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2,48,8,0,20,0,0,0,4,2,1,0,0,0,0,0,2,2,30,0,0,17,241,9,0,4,1,0,5,52,3,1,39,63,0,0,0,0,0
 24-34,0,1.64,1.64,22.98,3.28,0,72.24,0,1.64,0,3.28,2.46,0.82,0,0,0.82,0,1.64,0,0,53.36,1.64,0,22.16,334.91,0,2.46,4.1,0,0,11.49,0,0,0,12.31,77.16,0,0,4.93,0,0
 36-46,0,0,0,8.86,0.81,0,113.6,2.42,1.61,2.42,13.7,0,0,0.81,2.42,2.42,0,1.61,1.61,1.61,58.01,3.22,1.61,20.14,292.46,2.42,1.61,0,0,0.81,24.98,1.61,3.22,0,0,67.68,0,0,4.03,0,3.22
 48-58,0.57,0,0,12.05,0.57,0,183.04,1.72,2.3,4.02,24.67,2.3,1.15,0,2.3,1.15,0.57,1.72,0.57,0,87.22,2.3,2.3,15.49,191.65,0.57,2.3,4.59,0,0,16.64,0,1.15,0.57,0,38.44,0,0,8.61,0,2.3
 60-70,0,0.98,0,13.74,7.85,0,137.41,0,1.96,4.91,21.59,4.91,0.98,0,2.94,4.91,0.98,2.94,1.96,0,89.32,0,5.89,10.8,106.99,0.98,1.96,3.93,0,0.98,22.58,0,0.98,0.98,0,15.7,0,0.98,5.89,0,2.94
 72-82,0,1.96,0,11.78,23.56,0,107,0,0,4.91,40.25,4.91,0.98,0,12.76,1.96,0,3.93,0.98,0,120.74,0.98,1.96,16.69,135.47,1.96,4.91,0.98,0,0.98,20.61,0,0,0,0,16.69,0.98,2.94,7.85,2.94,5.89
 84-94,0,0,0,12.74,20.18,0,79.65,0,3.19,1.06,14.87,7.43,0,0,8.5,4.25,2.12,2.12,2.12,0,64.78,3.19,6.37,7.43,71.16,0,3.19,3.19,0,2.12,55.23,0,0,0,0,13.81,0,0,1.06,2.12,3.19
 96-106,0,1.09,0,17.49,40.44,0,52.46,3.28,2.19,4.37,24.04,13.11,0,2.19,5.46,5.46,1.09,2.19,0,0,87.43,3.28,6.56,9.84,56.83,3.28,4.37,5.46,0,0,37.16,0,2.19,1.09,0,5.46,2.19,0,6.56,1.09,5.46
108-118,0,0.77,0.77,26.04,16.09,2.3,26.81,0.77,9.96,3.83,24.51,8.43,0,0.77,8.43,7.66,1.53,3.06,3.06,0,48.26,0.77,2.3,6.13,62.04,0.77,3.83,1.53,0,0.77,26.04,0,0.77,0.77,0,2.3,0.77,0,2.3,0,3.83
120,0,1.96,0,56.83,41.16,1.96,39.2,0,9.8,3.92,19.6,11.76,0,5.88,9.8,9.8,1.96,3.92,1.96,0,64.67,1.96,0,13.72,86.23,7.84,3.92,5.88,0,0,68.59,0,7.84,0,0,1.96,0,0,3.92,3.92,1.96
