stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,6.13,6.13,0,0,0,0,0,0,0,0
  7-9,15.77,0,0,7.89,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,97.26,0,0,65.72,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,100.7,6.29,0,28.32,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,6,3,2,0,0,2,0,0,0,1,0,0,3,0,1,18,0,1,1,0,1,3,1,4,3,0,0,1
 24-34,0,0,0.82,0,1.64,0,0.82,1.64,0,0,0,0.82,0,0.82,0,0,0.82,0,0.82,15.6,0,0.82,0,2.46,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0,0,0,0,1.61,0.81,0,65.26,0,0,0,2.42,0,0,0,0,0.81,0,0.81,0
 48-58,0,0,0,0,2.87,0,1.15,0,0.57,0.57,0,0,0,0,0,0,0,0,0,20.66,0,0,0,2.3,0,0,0.57,0,0.57,0,0,0
 60-70,0,0,0,0,2.94,0,1.96,0,0,0,0.98,0,0.98,0,0,0,0,0,0,10.8,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0.98,0,0,2.94,0,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,4.25,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,15.93,0,0,0,2.12,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0,2.19,1.09,2.19,1.09,0,0,12.02,0,0,0,5.46,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0,0,7.66,0,0,0,5.36,0,0,0,0,0,0,0,0
120,0,0,0,0,5.88,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0,0
