stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,20,48,1,9,0,0,0,0
 24-34,0,0,9.85,0,0.82,0,0.82,0,0,0,9.03,0,0,0,0.82,1.64,0,0,0,0,0.82,9.85,0.82,0,0,0.82,0,108.35,0,1.64,0.82,0,0,0
 36-46,0,0,2.42,0,0,0,0,0,0,0,14.5,0,0,0,0,3.22,0,3.22,0,0,0.81,5.64,0,0,0,0,0,72.51,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.72,0,0,0.57,10.9,0,0,0,0,2.87,0,0,0,0,0,2.3,0,0,0,0,0,39.02,0,0,0,0,0.57,0
 60-70,0,0.98,0,1.96,0.98,0,0,0,0,0,19.63,0,0,0,0,0.98,0,0.98,0,0,0,4.91,0,0,0,0,0,48.09,0,0,0,0,0,0
 72-82,0,2.94,0.98,1.96,0,0,5.89,0,0,4.91,109.95,0,0,0,0,0.98,0,2.94,0,0,0,21.6,0,0,0,0,0,81.48,0,0,0.98,0,0,0
 84-94,0,4.25,4.25,1.06,0,0,4.25,0,2.12,0,255.95,1.06,0,0,0,3.19,0,2.12,0,0,0,13.81,0,0,0,3.19,0,172.05,0,0,0,0,0,0
 96-106,0,2.19,4.37,3.28,1.09,0,16.39,1.09,0,2.19,403.26,0,2.19,1.09,0,0,0,12.02,1.09,0,0,66.66,1.09,0,1.09,5.46,0,173.76,1.09,0,0,1.09,2.19,1.09
108-118,0,1.53,6.89,3.06,0,1.53,13.02,0,3.83,3.06,478.73,0.77,0,0,0.77,3.83,0.77,7.66,0,1.53,3.06,64.34,1.53,0,0,3.83,0,162.38,0,0,0,0.77,0.77,0.77
120,0,1.96,0,1.96,1.96,0,7.84,0,0,0,331.2,0,0,1.96,1.96,1.96,0,7.84,0,0,1.96,47.03,1.96,0,0,3.92,0,111.71,0,0,0,0,0,0
