stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,xanthophores
  3-4,26.36,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,4,0,1,1,0,0,0,1,0,1,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0,1.64,0,0.82,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0.81,1.61,0.81
 48-58,0,0,0,0,0,0,1.15,0,0.57,0,0,0.57,1.15,0,0,0,0,0.57,17.79,0,0,0,0,0.57,0,0,0,21.8,0
 60-70,0,0,0,0,0,0,4.91,0,0.98,0,0,0,0,0,0,0,1.96,0,37.3,0,0,0,0,0,0,0,0,33.37,0
 72-82,0,0,0,0.98,0,0.98,11.78,0,1.96,0,0.98,0,2.94,0.98,0,0,0.98,0,58.9,0,0,0,0,0,0,0,1.96,31.41,0
 84-94,0,0,0,1.06,0,0,21.24,1.06,4.25,1.06,1.06,0,4.25,0,3.19,0,1.06,0,33.99,0,0,0,0,0,1.06,0,1.06,16.99,0
 96-106,0,0,0,0,0,0,22.95,1.09,2.19,1.09,0,1.09,7.65,0,0,0,3.28,1.09,55.74,0,1.09,0,0,0,2.19,0,0,8.74,0
108-118,0,0,0,1.53,0,0,26.04,0,9.19,0,0,0.77,26.04,1.53,0,0,3.06,0,62.04,0.77,2.3,0,0,0,1.53,0,0.77,12.26,0
120,0,0,0,0,1.96,0,25.48,0,1.96,0,0,1.96,17.64,0,0,0,0,0,50.95,0,0,0,0,0,0,0,0,23.52,0
