stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,105.42,2648.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,147.11,2807.37,6.13,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,171.63,6.13,0,0,30.65,0,49.04,0,0,0,0,0,0,0,0,0
  7-9,13.14,31.54,36.8,0,0,68.35,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,678.21,26.29,0,0,236.58,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,3.15,31.47,22.03,0,0,47.2,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,541.28,12.59,0,0,220.29,0,3.15,0,0,28.32,0,3.15,0,0,0,0
 14-21,0,0,6,27,5,19,0,0,8,0,1,0,0,0,0,0,0,17,0,8,261,5,1,1,9,0,0,0,23,0,1,21,68,0,0,0
 24-34,0,0,1.64,6.57,0.82,26.27,0,0,5.75,0.82,0,0,0,0,0,0.82,0,22.16,0,8.21,324.24,1.64,0.82,4.1,0,0,1.64,0,0,0,0,2.46,61.56,0,1.64,0
 36-46,0,0,0,2.42,0,49.95,0,0,2.42,0.81,0,0,0.81,0,0,0,0,17.72,0.81,4.83,146.63,0,2.42,1.61,0,0.81,3.22,0,0,0,0,0,33.84,0,0.81,0
 48-58,0,0,0,0,0,67.14,0,0.57,12.62,0.57,0,0,0,0,0.57,0,0.57,29.84,0.57,5.74,114.19,0.57,1.72,0.57,0,0,1.15,0,0,0,0,0,33.85,0,2.3,0.57
 60-70,0,0,0,0,0,50.06,0,0.98,14.72,0.98,0,0,0,0,0,0,0,14.72,2.94,1.96,50.06,0,1.96,0,0,0,0,0,0.98,0,0,0,8.83,0.98,0.98,0
 72-82,0,0,0,1.96,0,31.41,0,1.96,12.76,0,0,0,0,1.96,0,0,0,27.49,0.98,1.96,44.17,0,0,0.98,0,0,0.98,0,0,0,0,0,3.93,0,3.93,0
 84-94,0,0,0,5.31,0,18.05,0,0,9.56,1.06,0,0,1.06,0,0,0,0,10.62,0,2.12,28.68,0,1.06,2.12,0,0,2.12,0,0,0,0,0,6.37,1.06,0,0
 96-106,0,0,0,1.09,0,9.84,0,0,7.65,1.09,0,1.09,0,1.09,0,0,0,4.37,0,2.19,24.04,0,0,0,0,0,7.65,0,0,1.09,0,0,2.19,0,4.37,0
108-118,0,0,0,0.77,0,11.49,0.77,0,7.66,0,0,0,0.77,0,0.77,0,0.77,9.19,0,3.06,14.55,0,0,0,0,0,3.06,0,0,0,0,0,1.53,0,0,0
120,0,0,0,0,0,1.96,1.96,0,3.92,0,0,0,0,0,0,0,0,1.96,0,3.92,15.68,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
