stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,19,0,1,0,0,0,5,0,1,0,0,2,10,0,0,0,0,0
 24-34,0,0.82,11.49,0.82,0,9.03,0,0.82,0,3.28,0.82,0,0,1.64,5.75,0,0,0,0,7.39,1.64,0,4.1,69.77,0,4.1,0.82,0,0,35.3,0,0,3.28,0,1.64,22.98,0,0,4.93,0,1.64
 36-46,0,0.81,0.81,0,0,12.09,0,0,0,4.83,0.81,0,0,2.42,0,0,0,0,2.42,8.86,0,0.81,1.61,66.87,0.81,4.03,0.81,0,0,20.14,0,0,1.61,0,0,15.31,0,0,0.81,0,2.42
 48-58,0,0,2.87,1.15,0,28.69,0.57,2.87,1.72,4.59,0,0,0,1.15,0,0,1.15,0,1.15,14.35,1.15,0,3.44,71.15,0,1.15,1.72,0,0,18.36,0,0,0,0.57,0,17.79,0,0,2.87,0,5.16
 60-70,0,0,7.85,1.96,0,44.17,0.98,0.98,0,10.8,0.98,0,0,2.94,1.96,3.93,1.96,0,0,14.72,0,0,2.94,82.45,0,2.94,0,0,0,20.61,0,0,0.98,0,0,12.76,0.98,0.98,4.91,0,0.98
 72-82,0,3.93,8.83,0.98,0,61.84,0,0.98,0,23.56,7.85,0,0,5.89,1.96,0.98,1.96,0.98,0,26.5,1.96,0,2.94,96.2,0,10.8,5.89,0,0.98,12.76,0,0,0.98,0,0,7.85,2.94,0.98,1.96,2.94,0
 84-94,0,3.19,12.74,3.19,0,38.23,0,5.31,0,9.56,10.62,0,2.12,8.5,5.31,4.25,1.06,1.06,1.06,20.18,1.06,2.12,0,39.3,0,5.31,7.43,0,0,43.54,0,0,0,0,0,6.37,3.19,1.06,5.31,0,1.06
 96-106,0,2.19,8.74,0,1.09,46.99,0,3.28,3.28,12.02,8.74,0,1.09,15.3,7.65,5.46,3.28,1.09,0,19.67,0,1.09,3.28,37.16,0,2.19,3.28,0,1.09,32.79,0,0,0,0,0,0,2.19,1.09,9.84,2.19,3.28
108-118,0,3.06,17.62,2.3,0,22.21,0,2.3,0.77,9.19,2.3,0,0,8.43,1.53,4.6,2.3,0.77,0,20.68,2.3,2.3,2.3,70.47,0.77,3.06,3.83,0,0,22.21,0,0,0,0,0,0,3.06,1.53,3.83,0,2.3
120,0,0,5.88,0,0,21.56,0,0,0,7.84,11.76,0,0,3.92,1.96,0,0,0,0,11.76,0,0,0,97.99,3.92,3.92,5.88,0,0,21.56,0,0,0,0,0,5.88,1.96,0,3.92,0,0
