stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,1,0,14,0,0,0,0,4,1,4,0,1,9,3,0,0,0,0,3,6,1,3,7,0,0,0,0,1
 24-34,0,0,0.82,0.82,0.82,0,0,3.28,0,0.82,0.82,0,2.46,0,0,0,0,9.85,0.82,9.03,0,1.64,24.63,1.64,1.64,0,0,0,0,25.45,0,1.64,4.93,0,0,1.64,0,2.46
 36-46,0,0,0,0,0.81,0.81,0,1.61,0,0.81,2.42,0,0,0,0,0,0,6.45,3.22,4.03,0,0.81,18.53,0,1.61,0,0,0,0,34.64,0,0,3.22,0,0,1.61,0,4.83
 48-58,0,0,0.57,0,0,0,0,9.18,0,2.87,12.62,1.15,0,0.57,0,0,1.15,8.03,0,6.89,0.57,2.3,24.67,0,0,0,0,0,0,30.41,0,0,8.03,0,0,0.57,0,9.18
 60-70,0,0,0,0,0,0,0,14.72,0,3.93,39.26,2.94,0,0,1.96,0.98,0,13.74,0,8.83,0,0,24.54,0,0.98,0,0,0.98,0,41.22,0,0,3.93,0,0,0,0,7.85
 72-82,0,0,4.91,0,0,0.98,3.93,14.72,0,2.94,46.14,10.8,0,0,0.98,0,0.98,17.67,0.98,19.63,0.98,0.98,20.61,0,0.98,1.96,0,0,0,73.62,0.98,0,1.96,0,0,1.96,0,2.94
 84-94,0,0,7.43,0,0,0,22.3,8.5,1.06,4.25,18.05,24.43,0,0,0,2.12,1.06,58.41,0,13.81,0,3.19,12.74,0,1.06,3.19,0,0,0,142.31,0,0,0,0,0,0,1.06,2.12
 96-106,0,0,5.46,0,7.65,1.09,24.04,13.11,0,7.65,27.32,25.14,0,0,0,0,0,121.31,1.09,21.86,1.09,4.37,30.6,0,0,4.37,0,2.19,0,150.81,1.09,0,2.19,0,1.09,0,1.09,2.19
108-118,0,0,5.36,2.3,3.06,0,62.81,10.72,0,3.06,26.04,25.28,0,0,0.77,2.3,1.53,179.24,1.53,16.85,0,2.3,31.4,1.53,0.77,3.83,0,3.06,0,147.06,1.53,0,0.77,0.77,0,0.77,0,3.83
120,0,0,1.96,1.96,1.96,0,5.88,5.88,0,1.96,17.64,23.52,0,0,0,0,3.92,139.14,3.92,15.68,0,0,31.36,0,0,5.88,0,0,0,88.19,0,0,0,0,0,0,0,0
