stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,52.71,685.25,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0
  5-6,61.3,429.07,0,0,0,0,0,0,0,0,18.39,0,0,30.65,0,0
  7-9,5.26,5.26,10.51,0,10.51,0,2.63,0,0,0,207.67,5.26,86.75,2.63,0,0
 10-12,0,0,6.29,0,0,0,0,3.15,0,0,25.18,0,28.32,0,0,0
 14-21,0,0,0,1,0,0,0,5,0,0,0,1,0,2,0,0
 24-34,0,0,0,0,0,0,0,4.1,0.82,0,0,0,0,0.82,1.64,0
 36-46,0,0,0,0,0,0,0,2.42,0,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,2.94,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,1.53,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
