stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,2,10,0,0,0,0,0,0,6,0,0,1
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,3.28,0,0.82,4.93,0,0,0,0,0,0.82,1.64,0.82,0,0
 36-46,0,0,2.42,0,0.81,0,0.81,0,0,0,0,0,0,11.28,0,0.81,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,3.44,0,0,1.15,0,0,0,1.72,0,0,4.02,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0.98,0.98,0,0,0,0,0,0,0.98,0.98,0,2.94,0,0,0,0,0.98,0,0.98,0,0,0
 72-82,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,4.91,0,0,0,0.98,0,0,0.98,0.98,0,0
 84-94,0,0,0,1.06,0,0,1.06,0,1.06,1.06,1.06,0,0,5.31,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,2.19,0,0,1.09,1.09,0,0,0,0,1.09,0
108-118,0,0,1.53,0,0,0.77,2.3,0,0,0,3.06,0,0.77,7.66,0,0.77,0,0.77,0,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,3.92,1.96,0,1.96,0,0,0,0,0,0,0
