stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,2,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,2,1,2,4,0,0,0
 24-34,0,0,0.82,0,3.28,0,0,0,0,0.82,0,4.93,0,2.46,25.45,0,0,0.82,0,0,0,0,0.82,5.75,0,0,0
 36-46,0,0,0,0,4.83,0,0.81,0,0,0,0,0,0,0,20.14,0,0,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0.57,0,9.75,0,2.3,0,0,0,0.57,4.02,0.57,0,27.54,0,0,0,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,0.98,0,4.91,0,0.98,0,0,0,0,1.96,0,0,22.58,0,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0.98,0,8.83,0,2.94,0,0,0,0,6.87,0,0,8.83,0,0.98,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,13.81,0,1.06,0,2.12,0,1.06,2.12,0,0,7.43,0,1.06,0,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,0,3.28,1.09,0,0,0,0,0,6.56,0,1.09,7.65,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,2.3,0,6.89,0,0.77,0.77,0,0,0,2.3,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,3.92,3.92,0,0,0,0,0,0,0,0,1.96,11.76,0,0,0,0,1.96,0,0,0,0,0,1.96,0
