stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,28.92,0,0,0,31.54,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,291.79,13.14,0,0,102.52,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,66.09,0,15.73,0,50.35,0,0,0,0,81.82,0,0,0,0,0,0,0,0,0,0,0,708.07,15.73,0,0,88.12,0,6.29,0,3.15,25.18,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,5,32,7,0,4,0,0,0,2,0,2,0,4,0,0,0,0,4,0,0,3,16,1,3,1,3,0,3,1,5,5,0,6,8,0,0,0,0,0
 24-34,0,0,0.82,0,15.6,0,0,6.57,1.64,0.82,1.64,1.64,0,0.82,0.82,9.03,0,0.82,0,0,13.95,0.82,0,6.57,36.94,2.46,1.64,3.28,0,0,22.16,0,0,4.93,0,4.1,22.98,0,0,2.46,0,0
 36-46,0,0,0.81,0,7.25,1.61,0,4.83,0.81,1.61,0.81,0,0,0,0,1.61,0,0,0,0,15.31,0.81,0,3.22,21.75,1.61,1.61,3.22,0,0,15.31,0,0,4.03,0,0,8.06,0,0,5.64,0,1.61
 48-58,0,0,0,0,4.02,0,0,10.33,0.57,2.87,5.16,0.57,0.57,0,0,1.15,0,1.15,2.3,1.72,24.67,1.15,0.57,4.02,19.51,0,2.3,4.59,0,0.57,9.75,0,0,0.57,0,0,5.16,0,0,2.87,0,2.3
 60-70,0,0,0,0,10.8,0,0,4.91,1.96,0.98,9.82,7.85,0,0,0,0.98,0.98,1.96,0,0.98,44.17,0,0.98,1.96,17.67,0.98,1.96,0.98,0,0,6.87,0,0,3.93,0,0,2.94,0,1.96,2.94,0,0
 72-82,0,0,1.96,0.98,8.83,0,0.98,7.85,0,3.93,24.54,32.39,0,0.98,0.98,1.96,0,4.91,3.93,1.96,87.37,0.98,1.96,4.91,16.69,0.98,6.87,2.94,0,0.98,6.87,0,0,7.85,0,0,1.96,0.98,0.98,5.89,3.93,0
 84-94,0,0,3.19,0,16.99,0,0,9.56,5.31,2.12,12.74,53.1,0,1.06,3.19,2.12,0,0,5.31,4.25,40.36,3.19,0,4.25,6.37,3.19,6.37,3.19,0,1.06,20.18,0,0,7.43,0,0,0,2.12,3.19,6.37,3.19,6.37
 96-106,0,0,4.37,0,26.23,0,2.19,6.56,2.19,3.28,9.84,80.87,0,1.09,1.09,1.09,0,7.65,5.46,0,38.25,2.19,1.09,3.28,17.49,0,13.11,8.74,0,0,12.02,0,0,3.28,0,0,1.09,1.09,1.09,5.46,0,0
108-118,0,0,0.77,0,13.02,0,9.96,6.89,6.89,2.3,8.43,99.58,0,0.77,1.53,5.36,1.53,3.83,12.26,1.53,29.11,0,1.53,3.83,22.21,0,1.53,3.06,0,0.77,3.06,0,0,4.6,0.77,0,1.53,3.06,0.77,12.26,0.77,1.53
120,0,0,0,0,25.48,0,0,15.68,1.96,0,9.8,96.03,0,0,7.84,7.84,1.96,5.88,13.72,0,15.68,0,1.96,1.96,35.28,0,7.84,7.84,0,0,9.8,0,0,3.92,0,0,0,0,0,5.88,1.96,0
