stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,13.14,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0.82,3.28,0,0,0,0,0,0.82,0,0,0,0,9.03,0,0,0,0.82,0,2.46,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0.81,0,2.42,0,0,0,0.81,0.81,0,0
 48-58,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0,1.15,0
 60-70,0,0,0,0,0,0,1.96,0,0.98,0,2.94,0,0,0,0,3.93,0,0,0,1.96,0,0,0.98
 72-82,0,0.98,0,0.98,0,0,1.96,0,0.98,0,5.89,0,0.98,0,0,6.87,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,3.19,1.06,0,0,4.25,0,0,0,0,3.19,0,0,0,0,0,3.19,0
 96-106,0,0,0,1.09,0,0,3.28,0,1.09,0,20.76,0,0,0,1.09,4.37,0,0,0,1.09,0,2.19,0
108-118,0,0,0,0.77,0,0,0,0.77,3.06,0.77,17.62,0.77,0,0.77,0,7.66,0,0,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,0,0,0,27.44,0,0,0,1.96,17.64,0,0,0,0,0,1.96,0
