stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,3,0,3,5,0,0,1,0,0
 24-34,0,2.46,0,9.03,0,0,0,0.82,0,0,0,0,0,0,0.82,5.75,0,0.82,51.71,0,1.64,0,0,0,7.39,0,0,0.82,0,16.42,0,0,2.46,0,0.82
 36-46,0,0.81,0.81,9.67,0,0,0,6.45,0,0.81,0,0,0,0,0.81,7.25,0,0.81,53.98,0.81,0.81,0.81,0,0,0.81,0,0,0,0,14.5,0,0,0,0,0
 48-58,0,1.15,0,15.49,0.57,0,0,4.02,0,0,0,0,0,0,0.57,5.16,0.57,0.57,33.28,0,0,0.57,0,0,2.3,0,0,0,0,15.49,0,0,2.3,0,0
 60-70,0,0,0,19.63,0,0.98,0,6.87,0,0,0.98,0,0,0,0,5.89,0,0,62.82,0,0.98,0.98,0,0,0.98,0,0,0,0,6.87,0,0,0.98,0,1.96
 72-82,0,0.98,0,31.41,0,0,0,13.74,0.98,0,0.98,0,1.96,0.98,0.98,6.87,0.98,3.93,52.03,0.98,0.98,0,0,0,2.94,0.98,0,0,0,2.94,0.98,0.98,0.98,0.98,0.98
 84-94,0,1.06,0,13.81,0,0,1.06,10.62,0,0,0,0,0,1.06,0,7.43,0,2.12,16.99,0,1.06,1.06,0,0,4.25,0,0,0,0,1.06,0,0,1.06,1.06,0
 96-106,0,2.19,1.09,10.93,0,0,0,6.56,0,0,0,0,0,0,1.09,10.93,0,1.09,24.04,0,1.09,1.09,0,1.09,3.28,0,0,1.09,0,2.19,0,0,1.09,0,0
108-118,0,3.06,2.3,16.09,0,0,0,6.89,0,0,0.77,0.77,0,0,0.77,4.6,0,0,22.21,0,0.77,0.77,0,0,4.6,0,0,0,0,2.3,0,0,1.53,0,0.77
120,0,7.84,5.88,9.8,1.96,0,0,3.92,1.96,0,0,0,0,0,0,7.84,0,1.96,43.12,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0
