stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,34.17,0,0,36.8,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,18.88,0,0,34.62,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,1,2,0,0,0,0,0,2,2,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0.82,0,41.86,0,0,0,0,0.82,4.93,0,0,0,0,0.82,1.64,1.64,0,6.57,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,0,0.81,2.42,0,0,0,0,0,4.83,0.81,0,5.64,0
 48-58,0,0,0,0,0.57,0,0,2.87,0,0,0.57,51.64,0,0,0,0.57,0,6.31,0.57,0,0.57,0,0,3.44,1.72,0.57,7.46,0
 60-70,0,0,0,0,0,0,0,4.91,0,0.98,0,58.89,0,0,0.98,0,0.98,6.87,0,0,0,0,0,2.94,2.94,0,9.82,0
 72-82,0,0,0,0,0,5.89,0,2.94,0.98,1.96,0.98,152.16,0,0.98,0.98,1.96,0,6.87,0,0,0,0,1.96,4.91,0.98,0.98,21.6,0.98
 84-94,0,0,0,0,0,3.19,0,7.43,0,1.06,1.06,165.68,0,0,0,1.06,0,3.19,0,0,1.06,0,0,10.62,0,0,16.99,0
 96-106,0,0,1.09,0,5.46,4.37,1.09,2.19,0,0,3.28,261.19,1.09,0,5.46,5.46,2.19,8.74,0,1.09,0,0,1.09,9.84,1.09,0,26.23,0
108-118,0,0,0,0,6.13,5.36,0.77,2.3,0,0.77,3.83,184.6,0,0,3.83,3.06,0.77,12.26,0,0,0,0,0,6.89,0,0,20.68,0
120,0,0,0,0,1.96,5.88,0,0,0,1.96,0,192.06,0,0,5.88,3.92,0,1.96,0,0,0,0,0,7.84,0,0,17.64,0
