stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,79.07,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,61.3,993,0,0,0,0,0,0,18.39,0,0,0,0,0,0,30.65,6.13,0,0,18.39,6.13,0,0,0,0,0,0
  7-9,7.89,15.77,7.89,0,26.29,0,0,0,10.51,0,0,0,0,0,0,297.04,7.89,0,0,99.89,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,188.82,15.73,0,0,66.09,0,0,15.73,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,1,3,0,1,1,0,0
 24-34,0,0,0,0.82,9.03,0,0,0,0,0,0,0,3.28,0,0.82,44.33,0,0.82,0.82,0,0,0,0,0,4.1,0,0
 36-46,0,0,0,0.81,6.45,0,1.61,0,0,0,0,0,2.42,0,0,12.09,0,0,0.81,0,0.81,0,0,0,1.61,0,0
 48-58,0,0,0,1.15,4.59,0,1.15,0,0,0,0,0,1.15,0,0.57,6.89,0,0,0,0,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,3.93,7.85,0,3.93,0,0,0,0,1.96,5.89,1.96,2.94,7.85,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,1.96,3.93,0,1.96,0.98,0,0,0,0,3.93,0.98,0.98,2.94,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,2.12,0,1.06,0,0,0,1.06,0,2.12,0,0,6.37,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,1.96,0,3.92,0,0,0,0,0,1.96,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0,1.96
