stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,2.46,4.93,0,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0,0,2.42,0,0,0.81,14.5,0,1.61,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0.57,0,4.02,0,0.57,0,0,0,0,0,0.57,0,0,0,4.02,0,0,0,6.31,0,0,0.57,0,0,0,0,1.72,0,0.57,0,0
 60-70,0,0,0,0,0,0,1.96,0,0,0.98,0.98,0,0,0.98,0,0,0,0,6.87,0,0.98,0,6.87,0,2.94,0,0,0.98,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0.98,0.98,0,0,1.96,0,0,0,1.96,0,0,0,0,8.83,0,0,2.94,14.72,0,0.98,0,0,4.91,0,0,1.96,0,0,0,0.98
 84-94,0,0,0,0,2.12,0,3.19,0,1.06,0,1.06,0,0,2.12,0,0,0,0,3.19,1.06,0,0,1.06,0,0,0,0,5.31,0,0,1.06,1.06,2.12,0,0
 96-106,0,0,0,0,0,0,1.09,2.19,0,0,1.09,0,0,7.65,0,0,1.09,0,7.65,1.09,0,2.19,2.19,0,1.09,0,0,7.65,0,0,0,0,0,4.37,0
108-118,0,0,0.77,0,1.53,0,0,0.77,0,0.77,0,0,0,5.36,0,0.77,0,0.77,5.36,0.77,0,1.53,7.66,0,1.53,0,0,7.66,0,0,0,0,1.53,0,0.77
120,0,0,0,0,9.8,0,0,0,0,0,7.84,0,1.96,7.84,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,11.76,0,0,0,0,0,0,0
