stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,263.57,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0
  7-9,2.63,2.63,0,0,2.63,7.89,0,0,0,0,94.63,2.63,0,0,44.69,0,0
 10-12,0,0,6.29,0,9.44,0,0,0,0,0,53.5,3.15,0,0,22.03,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,1.64,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,0.77,0,0,0.77,0.77,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
