stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,508.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,2.63,0,0,15.77,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,360.13,5.26,0,0,94.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,229.73,12.59,0,0,66.09,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,27,3,21,0,0,6,1,0,0,0,0,0,0,0,0,19,0,0,18,249,7,3,4,5,0,0,0,45,0,32,63,0,0,0,0,0
 24-34,0,0,0,0.82,7.39,0,22.98,1.64,0,1.64,2.46,0,0,0,0.82,0.82,0.82,0,0.82,32.01,0,0,15.6,239.69,1.64,3.28,1.64,0,0,6.57,0,0.82,3.28,8.21,51.71,0,0,4.93,0,0
 36-46,0,0,0,0.81,3.22,0,32.23,0,1.61,5.64,0,0,1.61,0,0,0,0.81,0.81,0,21.75,0.81,0.81,8.86,221.56,0,3.22,0,0,0,2.42,0,0,0.81,0.81,29.81,0,0,6.45,0,0
 48-58,0,0,0,0,1.72,0,32.13,0.57,0.57,5.16,0,0,0,0.57,0,0.57,1.15,1.15,0.57,17.21,0,0,5.16,157.8,0.57,1.15,0,0,0,4.02,0,0,0,0,35,0,0,0.57,0,2.3
 60-70,0,0,0,0,1.96,0,41.22,0.98,0,4.91,0,0,1.96,0.98,0,0,0.98,0.98,0,22.58,0.98,0.98,3.93,141.34,0.98,0.98,2.94,0,0.98,3.93,0,0,0,0,22.58,0,0,0.98,0.98,0.98
 72-82,0,0,0,0,5.89,0.98,43.19,0,0,13.74,0,0,0,1.96,0.98,0.98,0,0,0,41.23,0,0.98,2.94,143.32,0,0,3.93,0,0,2.94,0,0,0,0,23.56,0,1.96,2.94,0.98,2.94
 84-94,0,0,0,0,10.62,0,29.74,0,3.19,9.56,0,1.06,0,1.06,2.12,2.12,2.12,0,1.06,33.99,0,1.06,4.25,80.71,1.06,0,2.12,0,0,18.05,0,0,0,0,7.43,1.06,1.06,1.06,0,2.12
 96-106,0,0,0,0,8.74,0,27.32,2.19,1.09,7.65,0,0,0,2.19,0,0,1.09,0,1.09,38.25,0,0,2.19,69.94,3.28,3.28,0,0,0,7.65,0,0,0,0,4.37,0,2.19,3.28,2.19,2.19
108-118,0,0,0.77,0,9.96,0.77,20.68,3.06,0.77,10.72,4.6,0,0,0.77,2.3,0.77,0,0,0.77,29.87,0,0,9.19,81.19,0.77,2.3,3.06,0,0.77,6.89,0,0,0,0,6.13,0,1.53,0.77,0.77,0
120,0,0,0,0,15.68,0,15.68,1.96,5.88,7.84,1.96,0,0,3.92,0,3.92,0,0,0,17.64,1.96,0,3.92,88.19,1.96,0,1.96,0,0,19.6,0,0,0,0,3.92,0,1.96,1.96,0,1.96
