stage,epidermis,erythrocytes,eye,glial,lateral_line,mesenchyme,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,1,0,0,0,0,5,0,0,1,1,2
 24-34,0.82,0,0,0,0,0,9.85,0,0.82,0,0,0.82
 36-46,0,0,2.42,0,0.81,1.61,4.03,0,0,0,0,0.81
 48-58,0,0,0.57,1.72,0,0.57,1.72,0,0,0,0,0.57
 60-70,0,0,1.96,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,3.93,3.93,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,3.19,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,2.3,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0
