stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,17,6,0,4,0,0,0,1,3,0,2,0,1,0,0,0,0,8,0,0,7,39,3,2,1,0,9,4,1,8,19,0,0,4,0,0
 24-34,0,3.28,5.75,2.46,0,9.03,0,1.64,1.64,2.46,0.82,0,5.75,0.82,2.46,0,0.82,0.82,0.82,8.21,0,0,5.75,41.86,0.82,0.82,1.64,0,33.66,0,3.28,1.64,8.21,0,0,33.66,0,0
 36-46,0,0,1.61,0,0,8.06,0,0.81,1.61,3.22,0,0,4.03,0.81,0,0,0.81,0.81,0,18.53,0,0,3.22,38.67,0,0,1.61,0,26.59,0,1.61,0,15.31,0,0,16.92,0,1.61
 48-58,0,0,5.74,0,0,24.1,0,2.87,0.57,6.89,0.57,1.72,5.16,2.3,1.15,0.57,2.3,0,1.15,25.82,0,0.57,5.16,35.58,0,0.57,3.44,0,25.82,0,0,0,10.33,0,0,24.67,0.57,0.57
 60-70,0,0,8.83,0.98,0,27.48,0,4.91,2.94,18.65,2.94,0,8.83,4.91,0.98,0,0.98,0,0.98,44.17,1.96,0.98,3.93,33.37,1.96,0,1.96,1.96,36.32,0,0.98,0,11.78,0.98,2.94,17.67,0,0
 72-82,1.96,0,14.72,0,0,47.12,1.96,6.87,1.96,37.3,8.83,0,9.82,8.83,0,1.96,0.98,0,0,91.29,0,1.96,7.85,54.97,0,1.96,4.91,1.96,25.52,0,2.94,0,0.98,0.98,3.93,44.17,5.89,0
 84-94,2.12,0,33.99,0,0,60.54,1.06,3.19,1.06,21.24,16.99,2.12,7.43,22.3,5.31,2.12,3.19,0,0,60.54,2.12,7.43,5.31,28.68,0,0,3.19,0,84.96,0,6.37,0,4.25,2.12,1.06,58.41,3.19,2.12
 96-106,0,1.09,28.41,2.19,0,50.27,1.09,8.74,1.09,25.14,15.3,0,13.11,15.3,9.84,5.46,4.37,1.09,0,64.48,0,2.19,1.09,45.9,0,7.65,2.19,1.09,74.31,0,2.19,0,1.09,6.56,3.28,69.94,3.28,0
108-118,0,1.53,32.17,1.53,1.53,41.36,1.53,9.19,3.83,21.45,22.98,0,6.13,15.32,3.83,6.89,1.53,1.53,1.53,54.38,0.77,1.53,3.83,37.53,0.77,1.53,3.06,1.53,56.68,0,4.6,0,1.53,1.53,2.3,52.85,4.6,0
120,0,0,31.36,1.96,0,39.2,0,7.84,0,25.48,19.6,0,1.96,31.36,0,7.84,0,3.92,0,76.43,0,1.96,0,48.99,0,0,3.92,0,66.63,0,0,0,1.96,0,0,37.24,7.84,0
