stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,0,0,0,0,1,0,0,0,11,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
 24-34,0.82,0,11.49,0,0,1.64,0,0,0,0.82,4.1,14.78,0,0,111.64,0,0,0,0,4.1,52.53,0,0.82,18.88,0,3.28,0,0,3.28,0,0.82,4.93,0,0,1.64,0,0
 36-46,0,0,16.92,0,0,6.45,0,2.42,0,0,2.42,24.98,0,0,83.79,0,0.81,0,0,3.22,69.29,0.81,0.81,21.75,0,7.25,0.81,0,4.03,1.61,0,4.03,0,0,0,0,0
 48-58,0,0,16.64,0,0,17.21,0,3.44,0.57,5.16,2.3,46.48,0,0,44.18,0,0,0,0,9.18,59.68,0.57,2.87,53.36,0,0.57,0,0,6.89,1.72,0,10.9,0,0,0.57,0,3.44
 60-70,0,0,18.65,0,0,23.56,0,3.93,0.98,1.96,2.94,27.48,0,0,56.93,0.98,0,0,0.98,5.89,56.93,0,0,24.54,0,1.96,0,0,10.8,5.89,0,3.93,0,0,0,0,0
 72-82,0,0,22.58,0,0,12.76,0,4.91,0.98,3.93,38.28,15.71,0,0.98,103.07,0.98,0.98,0,0,13.74,94.24,0.98,0,42.21,0.98,0.98,0,0,11.78,1.96,0,1.96,0,0,1.96,0,0.98
 84-94,0,0,58.41,1.06,0,7.43,0,4.25,1.06,6.37,75.4,23.36,0,2.12,158.24,0,1.06,0,0,4.25,123.2,0,1.06,15.93,0,1.06,0,0,13.81,13.81,0,0,8.5,0,1.06,0,1.06
 96-106,0,0,131.14,9.84,1.09,37.16,0,16.39,0,10.93,195.62,2.19,0,1.09,243.7,1.09,3.28,3.28,1.09,26.23,189.06,3.28,4.37,75.41,1.09,8.74,5.46,2.19,38.25,5.46,0,0,19.67,1.09,2.19,2.19,3.28
108-118,0,0.77,133.28,3.06,1.53,22.21,0.77,22.21,0.77,6.89,229.79,0.77,0.77,5.36,256.6,0.77,1.53,1.53,0,23.74,145.53,1.53,0.77,54.38,0,5.36,1.53,1.53,19.92,12.26,0,3.83,28.34,0.77,0.77,0.77,1.53
120,0,0,105.83,5.88,0,17.64,0,9.8,0,11.76,123.47,0,0,5.88,146.98,3.92,3.92,1.96,0,13.72,103.87,0,0,47.03,0,1.96,0,1.96,13.72,7.84,0,1.96,7.84,0,1.96,1.96,0
